km,From:,REG (C-EXP),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),IC (HSR),HSR,HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),IC (HSR),HSR,HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,IC (HSR),IC (HSR),HSR,IC (HSR)
91,HILLSDALE,6:03  ,6:09  ,6:12  ,6:33  ,|      ,  ,6:39  ,6:42  ,  ,  ,|      ,7:03  ,  ,|      ,  ,7:09  ,7:12  ,  ,|      ,7:33  ,  ,|      ,  ,7:39  ,7:42  ,  ,  ,|      ,8:03  ,  ,|      ,  ,8:09  ,8:12  ,  ,|      ,8:33  ,  ,|      ,  ,8:39  ,8:42  ,  ,  ,|      ,9:03  ,  ,|      ,  ,9:09  ,9:12  ,  ,|      ,9:33  ,  ,|      ,  ,9:39  ,9:42  ,  ,  ,|      ,10:03  ,  ,|      ,  ,10:09  ,10:12  ,  ,|      ,10:33  ,  ,|      ,  ,10:39  ,10:42  ,10:43  ,  ,  ,|      ,11:03  ,  ,  ,|      ,  ,11:09  ,  ,|      ,|      ,11:43  ,  ,  ,|      ,  ,12:03  ,12:09  ,  ,|      ,12:43  ,  ,  ,|      ,  ,13:03  ,13:09  ,  ,|      ,13:43  ,  ,  ,|      ,  ,14:03  ,14:09  ,  ,|      ,14:43  ,  ,  ,|      ,  ,15:03  ,15:09  ,  ,|      ,15:43  ,  ,  ,|      ,  ,16:03  ,16:09  ,16:13  ,  ,16:33  ,|      ,  ,16:39  ,16:43  ,  ,  ,|      ,17:03  ,  ,|      ,  ,17:09  ,17:13  ,  ,|      ,17:33  ,  ,|      ,  ,17:39  ,17:43  ,  ,  ,|      ,18:03  ,  ,|      ,  ,18:09  ,18:13  ,  ,|      ,18:33  ,  ,|      ,  ,18:39  ,18:43  ,  ,  ,|      ,19:03  ,  ,|      ,  ,19:09  ,19:13  ,  ,|      ,19:33  ,  ,|      ,  ,19:39  ,19:43  ,  ,  ,|      ,20:03  ,  ,|      ,  ,20:09  ,20:13  ,  ,|      ,20:33  ,  ,|      ,  ,20:39  ,20:43  ,  ,  ,|      ,21:03  ,  ,|      ,  ,21:09  ,  ,|      ,|      ,21:43  ,  ,  ,|      ,  ,22:03  ,22:09  ,  ,|      ,22:43  ,  ,  ,|      ,  ,23:03  ,23:09  ,  ,|      ,23:43  ,  ,  ,|      ,  ,0:03  ,0:09  ,  ,|      ,  ,  ,|      ,  
93,HAYWARD PARK,|      ,|      ,6:15  ,|      ,|      ,  ,|      ,6:45  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,7:15  ,  ,|      ,|      ,  ,|      ,  ,|      ,7:45  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,8:15  ,  ,|      ,|      ,  ,|      ,  ,|      ,8:45  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,9:15  ,  ,|      ,|      ,  ,|      ,  ,|      ,9:45  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,10:15  ,  ,|      ,|      ,  ,|      ,  ,|      ,10:45  ,10:46  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,|      ,|      ,11:46  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,12:46  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,13:46  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,14:46  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,15:46  ,  ,  ,|      ,  ,|      ,|      ,16:16  ,  ,|      ,|      ,  ,|      ,16:46  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,17:16  ,  ,|      ,|      ,  ,|      ,  ,|      ,17:46  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,18:16  ,  ,|      ,|      ,  ,|      ,  ,|      ,18:46  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,19:16  ,  ,|      ,|      ,  ,|      ,  ,|      ,19:46  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,20:16  ,  ,|      ,|      ,  ,|      ,  ,|      ,20:46  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,21:46  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,22:46  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,23:46  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  
95,SAN MATEO,6:06  ,6:14  ,|      ,6:36  ,|      ,  ,6:44  ,|      ,  ,  ,|      ,7:06  ,  ,|      ,  ,7:14  ,|      ,  ,|      ,7:36  ,  ,|      ,  ,7:44  ,|      ,  ,  ,|      ,8:06  ,  ,|      ,  ,8:14  ,|      ,  ,|      ,8:36  ,  ,|      ,  ,8:44  ,|      ,  ,  ,|      ,9:06  ,  ,|      ,  ,9:14  ,|      ,  ,|      ,9:36  ,  ,|      ,  ,9:44  ,|      ,  ,  ,|      ,10:06  ,  ,|      ,  ,10:14  ,|      ,  ,|      ,10:36  ,  ,|      ,  ,10:44  ,|      ,|      ,  ,  ,|      ,11:06  ,  ,  ,|      ,  ,11:14  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,12:06  ,12:14  ,  ,|      ,|      ,  ,  ,|      ,  ,13:06  ,13:14  ,  ,|      ,|      ,  ,  ,|      ,  ,14:06  ,14:14  ,  ,|      ,|      ,  ,  ,|      ,  ,15:06  ,15:14  ,  ,|      ,|      ,  ,  ,|      ,  ,16:06  ,16:14  ,|      ,  ,16:36  ,|      ,  ,16:44  ,|      ,  ,  ,|      ,17:06  ,  ,|      ,  ,17:14  ,|      ,  ,|      ,17:36  ,  ,|      ,  ,17:44  ,|      ,  ,  ,|      ,18:06  ,  ,|      ,  ,18:14  ,|      ,  ,|      ,18:36  ,  ,|      ,  ,18:44  ,|      ,  ,  ,|      ,19:06  ,  ,|      ,  ,19:14  ,|      ,  ,|      ,19:36  ,  ,|      ,  ,19:44  ,|      ,  ,  ,|      ,20:06  ,  ,|      ,  ,20:14  ,|      ,  ,|      ,20:36  ,  ,|      ,  ,20:44  ,|      ,  ,  ,|      ,21:06  ,  ,|      ,  ,21:14  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,22:06  ,22:14  ,  ,|      ,|      ,  ,  ,|      ,  ,23:06  ,23:14  ,  ,|      ,|      ,  ,  ,|      ,  ,0:06  ,0:14  ,  ,|      ,  ,  ,|      ,  
97,BURLINGAME,6:09  ,|      ,|      ,6:39  ,|      ,  ,|      ,|      ,  ,  ,|      ,7:09  ,  ,|      ,  ,|      ,|      ,  ,|      ,7:39  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,8:09  ,  ,|      ,  ,|      ,|      ,  ,|      ,8:39  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,9:09  ,  ,|      ,  ,|      ,|      ,  ,|      ,9:39  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,10:09  ,  ,|      ,  ,|      ,|      ,  ,|      ,10:39  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,11:09  ,  ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,12:09  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,13:09  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,14:09  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,15:09  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,16:09  ,|      ,|      ,  ,16:39  ,|      ,  ,|      ,|      ,  ,  ,|      ,17:09  ,  ,|      ,  ,|      ,|      ,  ,|      ,17:39  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,18:09  ,  ,|      ,  ,|      ,|      ,  ,|      ,18:39  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,19:09  ,  ,|      ,  ,|      ,|      ,  ,|      ,19:39  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,20:09  ,  ,|      ,  ,|      ,|      ,  ,|      ,20:39  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,21:09  ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,22:09  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,23:09  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,0:09  ,|      ,  ,|      ,  ,  ,|      ,  
99,BROADWAY,|      ,|      ,6:19  ,|      ,|      ,↴      ,|      ,6:49  ,  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,7:19  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,7:49  ,  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,8:19  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,8:49  ,  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,9:19  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,9:49  ,  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,10:19  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,10:49  ,10:50  ,  ,  ,|      ,|      ,  ,  ,|      ,↴      ,|      ,  ,|      ,|      ,11:50  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,12:50  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,13:50  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,14:50  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,15:50  ,  ,  ,|      ,  ,|      ,|      ,16:20  ,  ,|      ,|      ,↴      ,|      ,16:50  ,  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,17:20  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,17:50  ,  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,18:20  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,18:50  ,  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,19:20  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,19:50  ,  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,20:20  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,20:50  ,  ,  ,|      ,|      ,  ,|      ,↴      ,|      ,  ,|      ,|      ,21:50  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,22:50  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,23:50  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  
101,MILLBRAE,6:13  ,6:18  ,6:22  ,↳     ,6:32  ,6:43  ,6:48  ,6:52  ,  ,  ,|      ,↳     ,  ,7:02  ,7:13  ,7:18  ,7:22  ,  ,|      ,↳     ,  ,7:32  ,7:43  ,7:48  ,7:52  ,  ,  ,|      ,↳     ,  ,8:02  ,8:13  ,8:18  ,8:22  ,  ,|      ,↳     ,  ,8:32  ,8:43  ,8:48  ,8:52  ,  ,  ,|      ,↳     ,  ,9:02  ,9:13  ,9:18  ,9:22  ,  ,|      ,↳     ,  ,9:32  ,9:43  ,9:48  ,9:52  ,  ,  ,|      ,↳     ,  ,10:02  ,10:13  ,10:18  ,10:22  ,  ,|      ,↳     ,  ,10:32  ,10:43  ,10:48  ,10:52  ,10:53  ,  ,  ,|      ,↳     ,  ,  ,11:02  ,11:13  ,11:18  ,  ,|      ,11:32  ,11:53  ,  ,  ,|      ,  ,12:13  ,12:18  ,  ,12:32  ,12:53  ,  ,  ,|      ,  ,13:13  ,13:18  ,  ,13:32  ,13:53  ,  ,  ,|      ,  ,14:13  ,14:18  ,  ,14:32  ,14:53  ,  ,  ,|      ,  ,15:13  ,15:18  ,  ,15:32  ,15:53  ,  ,  ,|      ,  ,16:13  ,16:18  ,16:23  ,  ,↳     ,16:32  ,16:43  ,16:48  ,16:53  ,  ,  ,|      ,↳     ,  ,17:02  ,17:13  ,17:18  ,17:23  ,  ,|      ,↳     ,  ,17:32  ,17:43  ,17:48  ,17:53  ,  ,  ,|      ,↳     ,  ,18:02  ,18:13  ,18:18  ,18:23  ,  ,|      ,↳     ,  ,18:32  ,18:43  ,18:48  ,18:53  ,  ,  ,|      ,↳     ,  ,19:02  ,19:13  ,19:18  ,19:23  ,  ,|      ,↳     ,  ,19:32  ,19:43  ,19:48  ,19:53  ,  ,  ,|      ,↳     ,  ,20:02  ,20:13  ,20:18  ,20:23  ,  ,|      ,↳     ,  ,20:32  ,20:43  ,20:48  ,20:53  ,  ,  ,|      ,↳     ,  ,21:02  ,21:13  ,21:18  ,  ,|      ,21:32  ,21:53  ,  ,  ,|      ,  ,22:13  ,22:18  ,  ,22:32  ,22:53  ,  ,  ,|      ,  ,23:13  ,23:18  ,  ,23:32  ,23:53  ,  ,  ,|      ,  ,0:13  ,0:18  ,  ,0:32  ,  ,  ,|      ,  
106,SAN BRUNO,|      ,6:22  ,|      ,  ,|      ,|      ,6:52  ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,7:22  ,|      ,  ,|      ,  ,  ,|      ,|      ,7:52  ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,8:22  ,|      ,  ,|      ,  ,  ,|      ,|      ,8:52  ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,9:22  ,|      ,  ,|      ,  ,  ,|      ,|      ,9:52  ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,10:22  ,|      ,  ,|      ,  ,  ,|      ,|      ,10:52  ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,11:22  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,12:22  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,13:22  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,14:22  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,15:22  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,16:22  ,|      ,  ,  ,|      ,|      ,16:52  ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,17:22  ,|      ,  ,|      ,  ,  ,|      ,|      ,17:52  ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,18:22  ,|      ,  ,|      ,  ,  ,|      ,|      ,18:52  ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,19:22  ,|      ,  ,|      ,  ,  ,|      ,|      ,19:52  ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,20:22  ,|      ,  ,|      ,  ,  ,|      ,|      ,20:52  ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,21:22  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,22:22  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,23:22  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,0:22  ,  ,|      ,  ,  ,|      ,  
109,SOUTH SAN FRANCISCO ,6:18  ,|      ,|      ,  ,|      ,6:48  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,7:18  ,|      ,|      ,  ,|      ,  ,  ,|      ,7:48  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,8:18  ,|      ,|      ,  ,|      ,  ,  ,|      ,8:48  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,9:18  ,|      ,|      ,  ,|      ,  ,  ,|      ,9:48  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,10:18  ,|      ,|      ,  ,|      ,  ,  ,|      ,10:48  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,11:18  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,12:18  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,13:18  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,14:18  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,15:18  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,16:18  ,|      ,|      ,  ,  ,|      ,16:48  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,17:18  ,|      ,|      ,  ,|      ,  ,  ,|      ,17:48  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,18:18  ,|      ,|      ,  ,|      ,  ,  ,|      ,18:48  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,19:18  ,|      ,|      ,  ,|      ,  ,  ,|      ,19:48  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,20:18  ,|      ,|      ,  ,|      ,  ,  ,|      ,20:48  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,21:18  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,22:18  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,23:18  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,0:18  ,|      ,  ,|      ,  ,  ,|      ,  
115,BAYSHORE,|      ,|      ,6:35  ,  ,|      ,|      ,|      ,7:05  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,7:35  ,  ,|      ,  ,  ,|      ,|      ,|      ,8:05  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,8:35  ,  ,|      ,  ,  ,|      ,|      ,|      ,9:05  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,9:35  ,  ,|      ,  ,  ,|      ,|      ,|      ,10:05  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,10:35  ,  ,|      ,  ,  ,|      ,|      ,|      ,11:05  ,11:05  ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,12:05  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,13:05  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,14:05  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,15:05  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,16:05  ,  ,  ,|      ,  ,|      ,|      ,16:35  ,  ,  ,|      ,|      ,|      ,17:05  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,17:35  ,  ,|      ,  ,  ,|      ,|      ,|      ,18:05  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,18:35  ,  ,|      ,  ,  ,|      ,|      ,|      ,19:05  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,19:35  ,  ,|      ,  ,  ,|      ,|      ,|      ,20:05  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,20:35  ,  ,|      ,  ,  ,|      ,|      ,|      ,21:05  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,22:05  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,23:05  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,0:05  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  
121,22nd STREET,6:25  ,6:31  ,|      ,  ,|      ,6:55  ,7:01  ,|      ,  ,  ,|      ,  ,↴      ,|      ,7:25  ,7:31  ,|      ,  ,|      ,  ,↴      ,|      ,7:55  ,8:01  ,|      ,  ,  ,|      ,  ,↴      ,|      ,8:25  ,8:31  ,|      ,  ,|      ,  ,↴      ,|      ,8:55  ,9:01  ,|      ,  ,  ,|      ,  ,↴      ,|      ,9:25  ,9:31  ,|      ,  ,|      ,  ,↴      ,|      ,9:55  ,10:01  ,|      ,  ,  ,|      ,  ,↴      ,|      ,10:25  ,10:31  ,|      ,  ,|      ,  ,↴      ,|      ,10:55  ,11:01  ,|      ,|      ,  ,  ,|      ,  ,↴      ,↴      ,|      ,11:25  ,11:31  ,  ,|      ,|      ,|      ,  ,  ,|      ,↴      ,12:25  ,12:31  ,  ,|      ,|      ,  ,  ,|      ,↴      ,13:25  ,13:31  ,  ,|      ,|      ,  ,  ,|      ,↴      ,14:25  ,14:31  ,  ,|      ,|      ,  ,  ,|      ,↴      ,15:25  ,15:31  ,  ,|      ,|      ,  ,  ,|      ,↴      ,16:25  ,16:31  ,|      ,  ,  ,|      ,16:55  ,17:01  ,|      ,  ,  ,|      ,  ,↴      ,|      ,17:25  ,17:31  ,|      ,  ,|      ,  ,↴      ,|      ,17:55  ,18:01  ,|      ,  ,  ,|      ,  ,↴      ,|      ,18:25  ,18:31  ,|      ,  ,|      ,  ,↴      ,|      ,18:55  ,19:01  ,|      ,  ,  ,|      ,  ,↴      ,|      ,19:25  ,19:31  ,|      ,  ,|      ,  ,↴      ,|      ,19:55  ,20:01  ,|      ,  ,  ,|      ,  ,↴      ,|      ,20:25  ,20:31  ,|      ,  ,|      ,  ,↴      ,|      ,20:55  ,21:01  ,|      ,  ,  ,|      ,  ,↴      ,|      ,21:25  ,21:31  ,  ,|      ,|      ,|      ,  ,  ,|      ,↴      ,22:25  ,22:31  ,  ,|      ,|      ,  ,  ,|      ,↴      ,23:25  ,23:31  ,  ,|      ,|      ,  ,  ,|      ,↴      ,0:25  ,0:31  ,  ,|      ,  ,  ,|      ,  
124,TOWNSEND / 4TH AND KING $,6:30  ,6:35  ,6:42  ,  ,|      ,7:00  ,7:05  ,↳     ,  ,  ,7:10  ,  ,7:12  ,|      ,7:30  ,7:35  ,↳     ,  ,7:40  ,  ,7:42  ,|      ,8:00  ,8:05  ,↳     ,  ,  ,8:10  ,  ,8:12  ,|      ,8:30  ,8:35  ,↳     ,  ,8:40  ,  ,8:42  ,|      ,9:00  ,9:05  ,↳     ,  ,  ,9:10  ,  ,9:12  ,|      ,9:30  ,9:35  ,↳     ,  ,9:40  ,  ,9:42  ,|      ,10:00  ,10:05  ,↳     ,  ,  ,10:10  ,  ,10:12  ,|      ,10:30  ,10:35  ,↳     ,  ,10:40  ,  ,10:42  ,|      ,11:00  ,11:05  ,↳     ,↳     ,  ,  ,11:10  ,  ,11:12  ,11:13  ,|      ,11:30  ,11:35  ,  ,11:40  ,|      ,↳     ,  ,  ,12:10  ,12:13  ,12:30  ,12:35  ,  ,|      ,↳     ,  ,  ,13:10  ,13:13  ,13:30  ,13:35  ,  ,|      ,↳     ,  ,  ,14:10  ,14:13  ,14:30  ,14:35  ,  ,|      ,↳     ,  ,  ,15:10  ,15:13  ,15:30  ,15:35  ,  ,|      ,↳     ,  ,  ,16:10  ,16:13  ,16:30  ,16:35  ,16:43  ,  ,  ,|      ,17:00  ,17:05  ,↳     ,  ,  ,17:10  ,  ,17:13  ,|      ,17:30  ,17:35  ,↳     ,  ,17:40  ,  ,17:43  ,|      ,18:00  ,18:05  ,↳     ,  ,  ,18:10  ,  ,18:13  ,|      ,18:30  ,18:35  ,↳     ,  ,18:40  ,  ,18:43  ,|      ,19:00  ,19:05  ,↳     ,  ,  ,19:10  ,  ,19:13  ,|      ,19:30  ,19:35  ,↳     ,  ,19:40  ,  ,19:43  ,|      ,20:00  ,20:05  ,↳     ,  ,  ,20:10  ,  ,20:13  ,|      ,20:30  ,20:35  ,↳     ,  ,20:40  ,  ,20:43  ,|      ,21:00  ,21:05  ,↳     ,  ,  ,21:10  ,  ,21:13  ,|      ,21:30  ,21:35  ,  ,21:40  ,|      ,↳     ,  ,  ,22:10  ,22:13  ,22:30  ,22:35  ,  ,|      ,↳     ,  ,  ,23:10  ,23:13  ,23:30  ,23:35  ,  ,|      ,↳     ,  ,  ,0:10  ,0:13  ,0:30  ,0:35  ,  ,|      ,  ,  ,1:10  ,  
126,SALESFORCE TRANSIT CENTER (STC) $,6:34  ,6:39  ,6:46  ,  ,6:50  ,7:04  ,7:09  ,  ,  ,  ,7:14  ,  ,7:16  ,7:20  ,7:34  ,7:39  ,  ,  ,7:44  ,  ,7:46  ,7:50  ,8:04  ,8:09  ,  ,  ,  ,8:14  ,  ,8:16  ,8:20  ,8:34  ,8:39  ,  ,  ,8:44  ,  ,8:46  ,8:50  ,9:04  ,9:09  ,  ,  ,  ,9:14  ,  ,9:16  ,9:20  ,9:34  ,9:39  ,  ,  ,9:44  ,  ,9:46  ,9:50  ,10:04  ,10:09  ,  ,  ,  ,10:14  ,  ,10:16  ,10:20  ,10:34  ,10:39  ,  ,  ,10:44  ,  ,10:46  ,10:50  ,11:04  ,11:09  ,  ,  ,  ,  ,11:14  ,  ,11:16  ,11:17  ,11:20  ,11:34  ,11:39  ,  ,11:44  ,11:50  ,  ,  ,  ,12:14  ,12:17  ,12:34  ,12:39  ,  ,12:50  ,  ,  ,  ,13:14  ,13:17  ,13:34  ,13:39  ,  ,13:50  ,  ,  ,  ,14:14  ,14:17  ,14:34  ,14:39  ,  ,14:50  ,  ,  ,  ,15:14  ,15:17  ,15:34  ,15:39  ,  ,15:50  ,  ,  ,  ,16:14  ,16:17  ,16:34  ,16:39  ,16:47  ,  ,  ,16:50  ,17:04  ,17:09  ,  ,  ,  ,17:14  ,  ,17:17  ,17:20  ,17:34  ,17:39  ,  ,  ,17:44  ,  ,17:47  ,17:50  ,18:04  ,18:09  ,  ,  ,  ,18:14  ,  ,18:17  ,18:20  ,18:34  ,18:39  ,  ,  ,18:44  ,  ,18:47  ,18:50  ,19:04  ,19:09  ,  ,  ,  ,19:14  ,  ,19:17  ,19:20  ,19:34  ,19:39  ,  ,  ,19:44  ,  ,19:47  ,19:50  ,20:04  ,20:09  ,  ,  ,  ,20:14  ,  ,20:17  ,20:20  ,20:34  ,20:39  ,  ,  ,20:44  ,  ,20:47  ,20:50  ,21:04  ,21:09  ,  ,  ,  ,21:14  ,  ,21:17  ,21:20  ,21:34  ,21:39  ,  ,21:44  ,21:50  ,  ,  ,  ,22:14  ,22:17  ,22:34  ,22:39  ,  ,22:50  ,  ,  ,  ,23:14  ,23:17  ,23:34  ,23:39  ,  ,23:50  ,  ,  ,  ,0:14  ,0:17  ,0:34  ,0:39  ,  ,0:50  ,  ,  ,1:14  ,  