km,From:,IC (HSR),HSR,REG (C-EXP),HSR,IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP)
,,701,801,,901,751,,503,1,803,1,405,903,703,753,405,505,2,805,2,407,905,755,407,507,3,807,3,409,907,705,757,409,509,4,809,4,411,909,759,411,511,5,811,5,413,911,707,761,413,513,6,813,6,415,913,763,415,515,7,815,7,417,915,709,765,417,517,8,817,8,419,917,767,419,519,9,819,9,421,919,421,521,10,821,10,423,921,423,523,11,825,427,925,427,527,13,829,431,929,431,531,15,833,435,933,435,535,17,837,439,937,439,539,19,841,4041,941,4041,543,21,843,21,,943,,545,22,845,22,4045,945,4045,547,23,847,23,,947,,549,24,849,24,,949,,551,25,851,25,,951,,553,26,853,26,,953,,555,27,855,27,,955,,557,28,857,28,,957,,559,29,859,29,,959,,561,30,861,30,463,961,463,563,31,865,467,965,467,567,33,869,471,969,471,571,35,,475,,475,575,37
0,SALESFORCE TRANSIT CENTER (STC) $,  ,5:10  ,5:13  ,5:16  ,  ,  ,5:21  ,5:26  ,5:40  ,  ,5:43  ,5:46  ,  ,  ,  ,5:51  ,5:56  ,6:10  ,  ,6:13  ,6:16  ,  ,  ,6:21  ,6:26  ,6:40  ,  ,6:43  ,6:46  ,  ,  ,  ,6:51  ,6:56  ,7:10  ,  ,7:13  ,7:16  ,  ,  ,7:21  ,7:26  ,7:40  ,  ,7:43  ,7:46  ,  ,  ,  ,7:51  ,7:56  ,8:10  ,  ,8:13  ,8:16  ,  ,  ,8:21  ,8:26  ,8:40  ,  ,8:43  ,8:46  ,  ,  ,  ,8:51  ,8:56  ,9:10  ,  ,9:13  ,9:16  ,  ,  ,9:21  ,9:26  ,9:40  ,  ,9:43  ,9:46  ,  ,9:51  ,9:56  ,10:10  ,  ,10:13  ,10:16  ,  ,10:21  ,10:26  ,11:10  ,11:13  ,11:16  ,  ,11:21  ,11:26  ,12:10  ,12:13  ,12:16  ,  ,12:21  ,12:26  ,13:10  ,13:13  ,13:16  ,  ,13:21  ,13:26  ,14:10  ,14:13  ,14:16  ,  ,14:21  ,14:26  ,15:10  ,15:14  ,15:16  ,  ,15:21  ,15:26  ,15:40  ,  ,15:44  ,15:46  ,  ,15:51  ,15:56  ,16:10  ,  ,16:14  ,16:16  ,  ,16:21  ,16:26  ,16:40  ,  ,16:44  ,16:46  ,  ,16:51  ,16:56  ,17:10  ,  ,17:14  ,17:16  ,  ,17:21  ,17:26  ,17:40  ,  ,17:44  ,17:46  ,  ,17:51  ,17:56  ,18:10  ,  ,18:14  ,18:16  ,  ,18:21  ,18:26  ,18:40  ,  ,18:44  ,18:46  ,  ,18:51  ,18:56  ,19:10  ,  ,19:14  ,19:16  ,  ,19:21  ,19:26  ,19:40  ,  ,19:44  ,19:46  ,  ,19:51  ,19:56  ,20:10  ,  ,20:13  ,20:16  ,  ,20:21  ,20:26  ,21:10  ,21:13  ,21:16  ,  ,21:21  ,21:26  ,22:10  ,22:13  ,22:16  ,  ,22:21  ,22:26  ,23:10  ,23:13  ,23:16  ,  ,23:21  ,23:26  
2,TOWNSEND / 4TH AND KING $,  ,|      ,5:18  ,5:21  ,  ,  ,5:26  ,5:31  ,|      ,  ,5:48  ,5:51  ,  ,  ,  ,5:56  ,6:01  ,|      ,  ,6:18  ,6:21  ,  ,  ,6:26  ,6:31  ,|      ,  ,6:48  ,6:51  ,  ,  ,  ,6:56  ,7:01  ,|      ,  ,7:18  ,7:21  ,  ,  ,7:26  ,7:31  ,|      ,  ,7:48  ,7:51  ,  ,  ,  ,7:56  ,8:01  ,|      ,  ,8:18  ,8:21  ,  ,  ,8:26  ,8:31  ,|      ,  ,8:48  ,8:51  ,  ,  ,  ,8:56  ,9:01  ,|      ,  ,9:18  ,9:21  ,  ,  ,9:26  ,9:31  ,|      ,  ,9:48  ,9:51  ,  ,9:56  ,10:01  ,|      ,  ,10:18  ,10:21  ,  ,10:26  ,10:31  ,|      ,11:18  ,11:21  ,  ,11:26  ,11:31  ,|      ,12:18  ,12:21  ,  ,12:26  ,12:31  ,|      ,13:18  ,13:21  ,  ,13:26  ,13:31  ,|      ,14:18  ,14:21  ,  ,14:26  ,14:31  ,|      ,15:18  ,15:21  ,  ,15:26  ,15:31  ,|      ,  ,15:48  ,15:51  ,  ,15:56  ,16:01  ,|      ,  ,16:18  ,16:21  ,  ,16:26  ,16:31  ,|      ,  ,16:48  ,16:51  ,  ,16:56  ,17:01  ,|      ,  ,17:18  ,17:21  ,  ,17:26  ,17:31  ,|      ,  ,17:48  ,17:51  ,  ,17:56  ,18:01  ,|      ,  ,18:18  ,18:21  ,  ,18:26  ,18:31  ,|      ,  ,18:48  ,18:51  ,  ,18:56  ,19:01  ,|      ,  ,19:18  ,19:21  ,  ,19:26  ,19:31  ,|      ,  ,19:48  ,19:51  ,  ,19:56  ,20:01  ,|      ,  ,20:18  ,20:21  ,  ,20:26  ,20:31  ,|      ,21:18  ,21:21  ,  ,21:26  ,21:31  ,|      ,22:18  ,22:21  ,  ,22:26  ,22:31  ,|      ,23:18  ,23:21  ,  ,23:26  ,23:31  
3,CP Common,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      
5,22nd STREET,  ,|      ,|      ,|      ,  ,  ,5:31  ,5:36  ,|      ,  ,|      ,|      ,  ,  ,  ,6:01  ,6:06  ,|      ,  ,|      ,|      ,  ,  ,6:31  ,6:36  ,|      ,  ,|      ,|      ,  ,  ,  ,7:01  ,7:06  ,|      ,  ,|      ,|      ,  ,  ,7:31  ,7:36  ,|      ,  ,|      ,|      ,  ,  ,  ,8:01  ,8:06  ,|      ,  ,|      ,|      ,  ,  ,8:31  ,8:36  ,|      ,  ,|      ,|      ,  ,  ,  ,9:01  ,9:06  ,|      ,  ,|      ,|      ,  ,  ,9:31  ,9:36  ,|      ,  ,|      ,|      ,  ,10:01  ,10:06  ,|      ,  ,|      ,|      ,  ,10:31  ,10:36  ,|      ,|      ,|      ,  ,11:31  ,11:36  ,|      ,|      ,|      ,  ,12:31  ,12:36  ,|      ,|      ,|      ,  ,13:31  ,13:36  ,|      ,|      ,|      ,  ,14:31  ,14:36  ,|      ,|      ,|      ,  ,15:31  ,15:36  ,|      ,  ,|      ,|      ,  ,16:01  ,16:06  ,|      ,  ,|      ,|      ,  ,16:31  ,16:36  ,|      ,  ,|      ,|      ,  ,17:01  ,17:06  ,|      ,  ,|      ,|      ,  ,17:31  ,17:36  ,|      ,  ,|      ,|      ,  ,18:01  ,18:06  ,|      ,  ,|      ,|      ,  ,18:31  ,18:36  ,|      ,  ,|      ,|      ,  ,19:01  ,19:06  ,|      ,  ,|      ,|      ,  ,19:31  ,19:36  ,|      ,  ,|      ,|      ,  ,20:01  ,20:06  ,|      ,  ,|      ,|      ,  ,20:31  ,20:36  ,|      ,|      ,|      ,  ,21:31  ,21:36  ,|      ,|      ,|      ,  ,22:31  ,22:36  ,|      ,|      ,|      ,  ,23:31  ,23:36  
11,BAYSHORE,  ,|      ,5:29  ,|      ,  ,  ,|      ,|      ,|      ,  ,5:59  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,6:29  ,|      ,  ,  ,|      ,|      ,|      ,  ,6:59  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,7:29  ,|      ,  ,  ,|      ,|      ,|      ,  ,7:59  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,8:29  ,|      ,  ,  ,|      ,|      ,|      ,  ,8:59  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,9:29  ,|      ,  ,  ,|      ,|      ,|      ,  ,9:59  ,|      ,  ,|      ,|      ,|      ,  ,10:29  ,|      ,  ,|      ,|      ,|      ,11:29  ,|      ,  ,|      ,|      ,|      ,12:29  ,|      ,  ,|      ,|      ,|      ,13:29  ,|      ,  ,|      ,|      ,|      ,14:29  ,|      ,  ,|      ,|      ,|      ,15:30  ,|      ,  ,|      ,|      ,|      ,  ,16:00  ,|      ,  ,|      ,|      ,|      ,  ,16:30  ,|      ,  ,|      ,|      ,|      ,  ,17:00  ,|      ,  ,|      ,|      ,|      ,  ,17:30  ,|      ,  ,|      ,|      ,|      ,  ,18:00  ,|      ,  ,|      ,|      ,|      ,  ,18:30  ,|      ,  ,|      ,|      ,|      ,  ,19:00  ,|      ,  ,|      ,|      ,|      ,  ,19:30  ,|      ,  ,|      ,|      ,|      ,  ,20:00  ,|      ,  ,|      ,|      ,|      ,  ,20:29  ,|      ,  ,|      ,|      ,|      ,21:29  ,|      ,  ,|      ,|      ,|      ,22:29  ,|      ,  ,|      ,|      ,|      ,23:29  ,|      ,  ,|      ,|      
17,SOUTH SAN FRANCISCO ,  ,|      ,|      ,|      ,  ,  ,|      ,5:43  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,6:13  ,|      ,  ,|      ,|      ,  ,  ,|      ,6:43  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,7:13  ,|      ,  ,|      ,|      ,  ,  ,|      ,7:43  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,8:13  ,|      ,  ,|      ,|      ,  ,  ,|      ,8:43  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,9:13  ,|      ,  ,|      ,|      ,  ,  ,|      ,9:43  ,|      ,  ,|      ,|      ,  ,|      ,10:13  ,|      ,  ,|      ,|      ,  ,|      ,10:43  ,|      ,|      ,|      ,  ,|      ,11:43  ,|      ,|      ,|      ,  ,|      ,12:43  ,|      ,|      ,|      ,  ,|      ,13:43  ,|      ,|      ,|      ,  ,|      ,14:43  ,|      ,|      ,|      ,  ,|      ,15:43  ,|      ,  ,|      ,|      ,  ,|      ,16:13  ,|      ,  ,|      ,|      ,  ,|      ,16:43  ,|      ,  ,|      ,|      ,  ,|      ,17:13  ,|      ,  ,|      ,|      ,  ,|      ,17:43  ,|      ,  ,|      ,|      ,  ,|      ,18:13  ,|      ,  ,|      ,|      ,  ,|      ,18:43  ,|      ,  ,|      ,|      ,  ,|      ,19:13  ,|      ,  ,|      ,|      ,  ,|      ,19:43  ,|      ,  ,|      ,|      ,  ,|      ,20:13  ,|      ,  ,|      ,|      ,  ,|      ,20:43  ,|      ,|      ,|      ,  ,|      ,21:43  ,|      ,|      ,|      ,  ,|      ,22:43  ,|      ,|      ,|      ,  ,|      ,23:43  
20,SAN BRUNO,  ,|      ,|      ,|      ,  ,  ,5:39  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,6:09  ,|      ,|      ,  ,|      ,|      ,  ,  ,6:39  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,7:09  ,|      ,|      ,  ,|      ,|      ,  ,  ,7:39  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,8:09  ,|      ,|      ,  ,|      ,|      ,  ,  ,8:39  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,9:09  ,|      ,|      ,  ,|      ,|      ,  ,  ,9:39  ,|      ,|      ,  ,|      ,|      ,  ,10:09  ,|      ,|      ,  ,|      ,|      ,  ,10:39  ,|      ,|      ,|      ,|      ,  ,11:39  ,|      ,|      ,|      ,|      ,  ,12:39  ,|      ,|      ,|      ,|      ,  ,13:39  ,|      ,|      ,|      ,|      ,  ,14:39  ,|      ,|      ,|      ,|      ,  ,15:39  ,|      ,|      ,  ,|      ,|      ,  ,16:09  ,|      ,|      ,  ,|      ,|      ,  ,16:39  ,|      ,|      ,  ,|      ,|      ,  ,17:09  ,|      ,|      ,  ,|      ,|      ,  ,17:39  ,|      ,|      ,  ,|      ,|      ,  ,18:09  ,|      ,|      ,  ,|      ,|      ,  ,18:39  ,|      ,|      ,  ,|      ,|      ,  ,19:09  ,|      ,|      ,  ,|      ,|      ,  ,19:39  ,|      ,|      ,  ,|      ,|      ,  ,20:09  ,|      ,|      ,  ,|      ,|      ,  ,20:39  ,|      ,|      ,|      ,|      ,  ,21:39  ,|      ,|      ,|      ,|      ,  ,22:39  ,|      ,|      ,|      ,|      ,  ,23:39  ,|      
24,MILLBRAE,  ,5:30  ,5:38  ,|      ,  ,  ,5:43  ,5:48  ,6:00  ,  ,6:08  ,|      ,  ,  ,  ,6:13  ,6:18  ,6:30  ,  ,6:38  ,|      ,  ,  ,6:43  ,6:48  ,7:00  ,  ,7:08  ,|      ,  ,  ,  ,7:13  ,7:18  ,7:30  ,  ,7:38  ,|      ,  ,  ,7:43  ,7:48  ,8:00  ,  ,8:08  ,|      ,  ,  ,  ,8:13  ,8:18  ,8:30  ,  ,8:38  ,|      ,  ,  ,8:43  ,8:48  ,9:00  ,  ,9:08  ,|      ,  ,  ,  ,9:13  ,9:18  ,9:30  ,  ,9:38  ,|      ,  ,  ,9:43  ,9:48  ,10:00  ,  ,10:08  ,|      ,  ,10:13  ,10:18  ,10:30  ,  ,10:38  ,|      ,  ,10:43  ,10:48  ,11:30  ,11:38  ,|      ,  ,11:43  ,11:48  ,12:30  ,12:38  ,|      ,  ,12:43  ,12:48  ,13:30  ,13:38  ,|      ,  ,13:43  ,13:48  ,14:30  ,14:38  ,|      ,  ,14:43  ,14:48  ,15:30  ,15:38  ,|      ,  ,15:43  ,15:48  ,16:00  ,  ,16:08  ,|      ,  ,16:13  ,16:18  ,16:30  ,  ,16:38  ,|      ,  ,16:43  ,16:48  ,17:00  ,  ,17:08  ,|      ,  ,17:13  ,17:18  ,17:30  ,  ,17:38  ,|      ,  ,17:43  ,17:48  ,18:00  ,  ,18:08  ,|      ,  ,18:13  ,18:18  ,18:30  ,  ,18:38  ,|      ,  ,18:43  ,18:48  ,19:00  ,  ,19:08  ,|      ,  ,19:13  ,19:18  ,19:30  ,  ,19:38  ,|      ,  ,19:43  ,19:48  ,20:00  ,  ,20:08  ,|      ,  ,20:13  ,20:18  ,20:30  ,  ,20:38  ,|      ,  ,20:43  ,20:48  ,21:30  ,21:38  ,|      ,  ,21:43  ,21:48  ,22:30  ,22:38  ,|      ,  ,22:43  ,22:48  ,23:30  ,23:38  ,|      ,  ,23:43  ,23:48  
27,BROADWAY,  ,|      ,5:41  ,|      ,  ,  ,|      ,|      ,|      ,  ,6:11  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,6:41  ,|      ,  ,  ,|      ,|      ,|      ,  ,7:11  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,7:41  ,|      ,  ,  ,|      ,|      ,|      ,  ,8:11  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,8:41  ,|      ,  ,  ,|      ,|      ,|      ,  ,9:11  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,9:41  ,|      ,  ,  ,|      ,|      ,|      ,  ,10:11  ,|      ,  ,|      ,|      ,|      ,  ,10:41  ,|      ,  ,|      ,|      ,|      ,11:41  ,|      ,  ,|      ,|      ,|      ,12:41  ,|      ,  ,|      ,|      ,|      ,13:41  ,|      ,  ,|      ,|      ,|      ,14:41  ,|      ,  ,|      ,|      ,|      ,15:41  ,|      ,  ,|      ,|      ,|      ,  ,16:11  ,|      ,  ,|      ,|      ,|      ,  ,16:41  ,|      ,  ,|      ,|      ,|      ,  ,17:11  ,|      ,  ,|      ,|      ,|      ,  ,17:41  ,|      ,  ,|      ,|      ,|      ,  ,18:11  ,|      ,  ,|      ,|      ,|      ,  ,18:41  ,|      ,  ,|      ,|      ,|      ,  ,19:11  ,|      ,  ,|      ,|      ,|      ,  ,19:41  ,|      ,  ,|      ,|      ,|      ,  ,20:11  ,|      ,  ,|      ,|      ,|      ,  ,20:41  ,|      ,  ,|      ,|      ,|      ,21:41  ,|      ,  ,|      ,|      ,|      ,22:41  ,|      ,  ,|      ,|      ,|      ,23:41  ,|      ,  ,|      ,|      
29,BURLINGAME,  ,|      ,|      ,|      ,  ,  ,|      ,5:52  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,6:22  ,|      ,  ,|      ,|      ,  ,  ,|      ,6:52  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,7:22  ,|      ,  ,|      ,|      ,  ,  ,|      ,7:52  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,8:22  ,|      ,  ,|      ,|      ,  ,  ,|      ,8:52  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,9:22  ,|      ,  ,|      ,|      ,  ,  ,|      ,9:52  ,|      ,  ,|      ,|      ,  ,|      ,10:22  ,|      ,  ,|      ,|      ,  ,|      ,10:52  ,|      ,|      ,|      ,  ,|      ,11:52  ,|      ,|      ,|      ,  ,|      ,12:52  ,|      ,|      ,|      ,  ,|      ,13:52  ,|      ,|      ,|      ,  ,|      ,14:52  ,|      ,|      ,|      ,  ,|      ,15:52  ,|      ,  ,|      ,|      ,  ,|      ,16:22  ,|      ,  ,|      ,|      ,  ,|      ,16:52  ,|      ,  ,|      ,|      ,  ,|      ,17:22  ,|      ,  ,|      ,|      ,  ,|      ,17:52  ,|      ,  ,|      ,|      ,  ,|      ,18:22  ,|      ,  ,|      ,|      ,  ,|      ,18:52  ,|      ,  ,|      ,|      ,  ,|      ,19:22  ,|      ,  ,|      ,|      ,  ,|      ,19:52  ,|      ,  ,|      ,|      ,  ,|      ,20:22  ,|      ,  ,|      ,|      ,  ,|      ,20:52  ,|      ,|      ,|      ,  ,|      ,21:52  ,|      ,|      ,|      ,  ,|      ,22:52  ,|      ,|      ,|      ,  ,|      ,23:52  
