km,From:,HSR,HSR,REG (C-LCL),HSR,HSR,HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP)
31,SAN MATEO,  ,  ,↳     ,  ,|      ,  ,5:28  ,5:33  ,|      ,↳     ,|      ,  ,  ,  ,5:43  ,5:48  ,|      ,↳     ,|      ,  ,  ,  ,5:58  ,6:03  ,|      ,↳     ,|      ,  ,  ,6:13  ,6:18  ,|      ,↳     ,|      ,  ,  ,  ,6:28  ,6:33  ,|      ,↳     ,|      ,  ,  ,  ,6:43  ,6:48  ,|      ,↳     ,|      ,  ,  ,  ,6:58  ,7:03  ,|      ,↳     ,|      ,  ,  ,7:13  ,7:18  ,|      ,↳     ,|      ,  ,  ,  ,7:28  ,7:33  ,|      ,↳     ,|      ,  ,  ,  ,7:43  ,7:48  ,|      ,↳     ,|      ,  ,  ,  ,7:58  ,8:03  ,|      ,↳     ,|      ,  ,  ,8:13  ,8:18  ,|      ,↳     ,|      ,  ,  ,  ,8:28  ,8:33  ,|      ,↳     ,|      ,  ,  ,  ,8:43  ,8:48  ,|      ,↳     ,|      ,  ,  ,  ,8:58  ,9:03  ,|      ,↳     ,|      ,  ,  ,9:13  ,9:18  ,|      ,↳     ,|      ,  ,  ,  ,9:28  ,9:33  ,|      ,↳     ,|      ,  ,  ,  ,9:43  ,9:48  ,|      ,↳     ,|      ,  ,  ,  ,9:58  ,10:03  ,|      ,↳     ,|      ,  ,  ,10:13  ,10:18  ,|      ,|      ,  ,  ,|      ,10:48  ,  ,|      ,  ,  ,|      ,  ,11:03  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,11:48  ,  ,  ,|      ,  ,  ,|      ,  ,12:03  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,12:48  ,  ,  ,|      ,  ,  ,|      ,  ,13:03  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,13:48  ,  ,  ,|      ,  ,  ,|      ,  ,14:03  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,14:48  ,  ,  ,|      ,  ,  ,|      ,  ,15:03  ,|      ,  ,|      ,  ,  ,|      ,↳     ,|      ,  ,  ,15:28  ,15:33  ,|      ,↳     ,|      ,  
33,HAYWARD PARK,  ,  ,  ,  ,|      ,  ,5:31  ,5:36  ,|      ,  ,|      ,  ,  ,  ,5:46  ,5:51  ,|      ,  ,|      ,  ,  ,  ,6:01  ,6:06  ,|      ,  ,|      ,  ,  ,6:16  ,6:21  ,|      ,  ,|      ,  ,  ,  ,6:31  ,6:36  ,|      ,  ,|      ,  ,  ,  ,6:46  ,6:51  ,|      ,  ,|      ,  ,  ,  ,7:01  ,7:06  ,|      ,  ,|      ,  ,  ,7:16  ,7:21  ,|      ,  ,|      ,  ,  ,  ,7:31  ,7:36  ,|      ,  ,|      ,  ,  ,  ,7:46  ,7:51  ,|      ,  ,|      ,  ,  ,  ,8:01  ,8:06  ,|      ,  ,|      ,  ,  ,8:16  ,8:21  ,|      ,  ,|      ,  ,  ,  ,8:31  ,8:36  ,|      ,  ,|      ,  ,  ,  ,8:46  ,8:51  ,|      ,  ,|      ,  ,  ,  ,9:01  ,9:06  ,|      ,  ,|      ,  ,  ,9:16  ,9:21  ,|      ,  ,|      ,  ,  ,  ,9:31  ,9:36  ,|      ,  ,|      ,  ,  ,  ,9:46  ,9:51  ,|      ,  ,|      ,  ,  ,  ,10:01  ,10:06  ,|      ,  ,|      ,  ,  ,10:16  ,10:21  ,|      ,|      ,  ,  ,|      ,10:51  ,  ,|      ,  ,  ,|      ,  ,11:06  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,11:51  ,  ,  ,|      ,  ,  ,|      ,  ,12:06  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,12:51  ,  ,  ,|      ,  ,  ,|      ,  ,13:06  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,13:51  ,  ,  ,|      ,  ,  ,|      ,  ,14:06  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,14:51  ,  ,  ,|      ,  ,  ,|      ,  ,15:06  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,15:31  ,15:36  ,|      ,  ,|      ,  
35,HILLSDALE,  ,  ,  ,  ,|      ,  ,5:34  ,5:39  ,5:42  ,  ,|      ,  ,  ,  ,5:49  ,5:54  ,5:57  ,  ,|      ,  ,  ,  ,6:04  ,6:09  ,6:12  ,  ,|      ,  ,  ,6:19  ,6:24  ,6:27  ,  ,|      ,  ,  ,  ,6:34  ,6:39  ,6:42  ,  ,|      ,  ,  ,  ,6:49  ,6:54  ,6:57  ,  ,|      ,  ,  ,  ,7:04  ,7:09  ,7:12  ,  ,|      ,  ,  ,7:19  ,7:24  ,7:27  ,  ,|      ,  ,  ,  ,7:34  ,7:39  ,7:42  ,  ,|      ,  ,  ,  ,7:49  ,7:54  ,7:57  ,  ,|      ,  ,  ,  ,8:04  ,8:09  ,8:12  ,  ,|      ,  ,  ,8:19  ,8:24  ,8:27  ,  ,|      ,  ,  ,  ,8:34  ,8:39  ,8:42  ,  ,|      ,  ,  ,  ,8:49  ,8:54  ,8:57  ,  ,|      ,  ,  ,  ,9:04  ,9:09  ,9:12  ,  ,|      ,  ,  ,9:19  ,9:24  ,9:27  ,  ,|      ,  ,  ,  ,9:34  ,9:39  ,9:42  ,  ,|      ,  ,  ,  ,9:49  ,9:54  ,9:57  ,  ,|      ,  ,  ,  ,10:04  ,10:09  ,10:12  ,  ,|      ,  ,  ,10:19  ,10:24  ,10:27  ,|      ,  ,  ,10:42  ,10:54  ,  ,|      ,  ,  ,10:57  ,  ,11:09  ,11:12  ,  ,|      ,  ,  ,11:27  ,|      ,11:42  ,11:54  ,  ,  ,|      ,  ,  ,11:57  ,  ,12:09  ,12:12  ,  ,|      ,  ,  ,12:27  ,|      ,12:42  ,12:54  ,  ,  ,|      ,  ,  ,12:57  ,  ,13:09  ,13:12  ,  ,|      ,  ,  ,13:27  ,|      ,13:42  ,13:54  ,  ,  ,|      ,  ,  ,13:57  ,  ,14:09  ,14:12  ,  ,|      ,  ,  ,14:27  ,|      ,14:42  ,14:54  ,  ,  ,|      ,  ,  ,14:57  ,  ,15:09  ,15:12  ,  ,|      ,  ,  ,15:27  ,  ,|      ,  ,  ,15:34  ,15:39  ,15:42  ,  ,|      ,  
38,BELMONT,  ,  ,  ,  ,|      ,  ,|      ,5:42  ,|      ,  ,|      ,  ,  ,  ,|      ,5:57  ,|      ,  ,|      ,  ,  ,  ,|      ,6:12  ,|      ,  ,|      ,  ,  ,|      ,6:27  ,|      ,  ,|      ,  ,  ,  ,|      ,6:42  ,|      ,  ,|      ,  ,  ,  ,|      ,6:57  ,|      ,  ,|      ,  ,  ,  ,|      ,7:12  ,|      ,  ,|      ,  ,  ,|      ,7:27  ,|      ,  ,|      ,  ,  ,  ,|      ,7:42  ,|      ,  ,|      ,  ,  ,  ,|      ,7:57  ,|      ,  ,|      ,  ,  ,  ,|      ,8:12  ,|      ,  ,|      ,  ,  ,|      ,8:27  ,|      ,  ,|      ,  ,  ,  ,|      ,8:42  ,|      ,  ,|      ,  ,  ,  ,|      ,8:57  ,|      ,  ,|      ,  ,  ,  ,|      ,9:12  ,|      ,  ,|      ,  ,  ,|      ,9:27  ,|      ,  ,|      ,  ,  ,  ,|      ,9:42  ,|      ,  ,|      ,  ,  ,  ,|      ,9:57  ,|      ,  ,|      ,  ,  ,  ,|      ,10:12  ,|      ,  ,|      ,  ,  ,|      ,10:27  ,|      ,|      ,  ,  ,|      ,10:57  ,  ,|      ,  ,  ,|      ,  ,11:12  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,11:57  ,  ,  ,|      ,  ,  ,|      ,  ,12:12  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,12:57  ,  ,  ,|      ,  ,  ,|      ,  ,13:12  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,13:57  ,  ,  ,|      ,  ,  ,|      ,  ,14:12  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,14:57  ,  ,  ,|      ,  ,  ,|      ,  ,15:12  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,15:42  ,|      ,  ,|      ,  
40,SAN CARLOS,  ,  ,  ,  ,|      ,  ,5:37  ,5:45  ,|      ,  ,|      ,  ,↴      ,  ,5:52  ,6:00  ,|      ,  ,|      ,  ,↴      ,  ,6:07  ,6:15  ,|      ,  ,|      ,  ,↴      ,6:22  ,6:30  ,|      ,  ,|      ,  ,↴      ,  ,6:37  ,6:45  ,|      ,  ,|      ,  ,↴      ,  ,6:52  ,7:00  ,|      ,  ,|      ,  ,↴      ,  ,7:07  ,7:15  ,|      ,  ,|      ,  ,↴      ,7:22  ,7:30  ,|      ,  ,|      ,  ,↴      ,  ,7:37  ,7:45  ,|      ,  ,|      ,  ,↴      ,  ,7:52  ,8:00  ,|      ,  ,|      ,  ,↴      ,  ,8:07  ,8:15  ,|      ,  ,|      ,  ,↴      ,8:22  ,8:30  ,|      ,  ,|      ,  ,↴      ,  ,8:37  ,8:45  ,|      ,  ,|      ,  ,↴      ,  ,8:52  ,9:00  ,|      ,  ,|      ,  ,↴      ,  ,9:07  ,9:15  ,|      ,  ,|      ,  ,↴      ,9:22  ,9:30  ,|      ,  ,|      ,  ,↴      ,  ,9:37  ,9:45  ,|      ,  ,|      ,  ,↴      ,  ,9:52  ,10:00  ,|      ,  ,|      ,  ,↴      ,  ,10:07  ,10:15  ,|      ,  ,|      ,  ,↴      ,10:22  ,10:30  ,|      ,|      ,  ,↴      ,|      ,11:00  ,  ,|      ,  ,  ,|      ,↴      ,11:15  ,|      ,  ,|      ,  ,↴      ,|      ,|      ,|      ,12:00  ,  ,  ,|      ,  ,  ,|      ,↴      ,12:15  ,|      ,  ,|      ,  ,↴      ,|      ,|      ,|      ,13:00  ,  ,  ,|      ,  ,  ,|      ,↴      ,13:15  ,|      ,  ,|      ,  ,↴      ,|      ,|      ,|      ,14:00  ,  ,  ,|      ,  ,  ,|      ,↴      ,14:15  ,|      ,  ,|      ,  ,↴      ,|      ,|      ,|      ,15:00  ,  ,  ,|      ,  ,  ,|      ,↴      ,15:15  ,|      ,  ,|      ,  ,↴      ,|      ,  ,|      ,  ,  ,15:37  ,15:45  ,|      ,  ,|      ,  
43,REDWOOD CITY,  ,  ,  ,  ,|      ,  ,5:43  ,↳     ,5:48  ,  ,|      ,  ,5:50  ,  ,5:58  ,↳     ,6:03  ,  ,|      ,  ,6:05  ,  ,6:13  ,↳     ,6:18  ,  ,|      ,  ,6:20  ,6:28  ,↳     ,6:33  ,  ,|      ,  ,6:35  ,  ,6:43  ,↳     ,6:48  ,  ,|      ,  ,6:50  ,  ,6:58  ,↳     ,7:03  ,  ,|      ,  ,7:05  ,  ,7:13  ,↳     ,7:18  ,  ,|      ,  ,7:20  ,7:28  ,↳     ,7:33  ,  ,|      ,  ,7:35  ,  ,7:43  ,↳     ,7:48  ,  ,|      ,  ,7:50  ,  ,7:58  ,↳     ,8:03  ,  ,|      ,  ,8:05  ,  ,8:13  ,↳     ,8:18  ,  ,|      ,  ,8:20  ,8:28  ,↳     ,8:33  ,  ,|      ,  ,8:35  ,  ,8:43  ,↳     ,8:48  ,  ,|      ,  ,8:50  ,  ,8:58  ,↳     ,9:03  ,  ,|      ,  ,9:05  ,  ,9:13  ,↳     ,9:18  ,  ,|      ,  ,9:20  ,9:28  ,↳     ,9:33  ,  ,|      ,  ,9:35  ,  ,9:43  ,↳     ,9:48  ,  ,|      ,  ,9:50  ,  ,9:58  ,↳     ,10:03  ,  ,|      ,  ,10:05  ,  ,10:13  ,↳     ,10:18  ,  ,|      ,  ,10:20  ,10:28  ,↳     ,10:33  ,|      ,  ,10:35  ,10:48  ,↳     ,  ,|      ,  ,  ,11:03  ,11:05  ,↳     ,11:18  ,  ,|      ,  ,11:20  ,11:33  ,|      ,11:48  ,↳     ,  ,  ,|      ,  ,  ,12:03  ,12:05  ,↳     ,12:18  ,  ,|      ,  ,12:20  ,12:33  ,|      ,12:48  ,↳     ,  ,  ,|      ,  ,  ,13:03  ,13:05  ,↳     ,13:18  ,  ,|      ,  ,13:20  ,13:33  ,|      ,13:48  ,↳     ,  ,  ,|      ,  ,  ,14:03  ,14:05  ,↳     ,14:18  ,  ,|      ,  ,14:20  ,14:33  ,|      ,14:48  ,↳     ,  ,  ,|      ,  ,  ,15:03  ,15:05  ,↳     ,15:18  ,  ,|      ,  ,15:20  ,15:33  ,  ,|      ,  ,  ,15:43  ,↳     ,15:48  ,  ,|      ,  
47,ATHERTON,  ,  ,  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,6:24  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,7:24  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,8:24  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,9:24  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,10:24  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,11:24  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,12:24  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,13:24  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,14:24  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,15:24  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,|      ,  
49,MENLO PARK,  ,  ,  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,5:55  ,  ,|      ,  ,|      ,  ,|      ,  ,6:10  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,6:40  ,  ,|      ,  ,|      ,  ,|      ,  ,6:55  ,  ,|      ,  ,|      ,  ,|      ,  ,7:10  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,7:40  ,  ,|      ,  ,|      ,  ,|      ,  ,7:55  ,  ,|      ,  ,|      ,  ,|      ,  ,8:10  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,8:40  ,  ,|      ,  ,|      ,  ,|      ,  ,8:55  ,  ,|      ,  ,|      ,  ,|      ,  ,9:10  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,9:40  ,  ,|      ,  ,|      ,  ,|      ,  ,9:55  ,  ,|      ,  ,|      ,  ,|      ,  ,10:10  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,10:40  ,|      ,  ,  ,|      ,  ,  ,|      ,11:10  ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,12:10  ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,13:10  ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,14:10  ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,15:10  ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,|      ,  
51,PALO ALTO,  ,  ,  ,  ,|      ,  ,5:48  ,  ,5:53  ,  ,|      ,  ,5:58  ,  ,6:03  ,  ,6:08  ,  ,|      ,  ,6:12  ,  ,6:18  ,  ,6:23  ,  ,|      ,  ,6:27  ,6:33  ,  ,6:38  ,  ,|      ,  ,6:42  ,  ,6:48  ,  ,6:53  ,  ,|      ,  ,6:58  ,  ,7:03  ,  ,7:08  ,  ,|      ,  ,7:12  ,  ,7:18  ,  ,7:23  ,  ,|      ,  ,7:27  ,7:33  ,  ,7:38  ,  ,|      ,  ,7:42  ,  ,7:48  ,  ,7:53  ,  ,|      ,  ,7:58  ,  ,8:03  ,  ,8:08  ,  ,|      ,  ,8:12  ,  ,8:18  ,  ,8:23  ,  ,|      ,  ,8:27  ,8:33  ,  ,8:38  ,  ,|      ,  ,8:42  ,  ,8:48  ,  ,8:53  ,  ,|      ,  ,8:58  ,  ,9:03  ,  ,9:08  ,  ,|      ,  ,9:12  ,  ,9:18  ,  ,9:23  ,  ,|      ,  ,9:27  ,9:33  ,  ,9:38  ,  ,|      ,  ,9:42  ,  ,9:48  ,  ,9:53  ,  ,|      ,  ,9:58  ,  ,10:03  ,  ,10:08  ,  ,|      ,  ,10:12  ,  ,10:18  ,  ,10:23  ,  ,|      ,  ,10:27  ,10:33  ,  ,10:38  ,|      ,  ,10:42  ,10:53  ,  ,  ,|      ,  ,  ,11:08  ,11:12  ,  ,11:23  ,  ,|      ,  ,11:27  ,11:38  ,|      ,11:53  ,  ,  ,  ,|      ,  ,  ,12:08  ,12:12  ,  ,12:23  ,  ,|      ,  ,12:27  ,12:38  ,|      ,12:53  ,  ,  ,  ,|      ,  ,  ,13:08  ,13:12  ,  ,13:23  ,  ,|      ,  ,13:27  ,13:38  ,|      ,13:53  ,  ,  ,  ,|      ,  ,  ,14:08  ,14:12  ,  ,14:23  ,  ,|      ,  ,14:27  ,14:38  ,|      ,14:53  ,  ,  ,  ,|      ,  ,  ,15:08  ,15:12  ,  ,15:23  ,  ,|      ,  ,15:27  ,15:38  ,  ,|      ,  ,  ,15:48  ,  ,15:53  ,  ,|      ,  
52,STANDFORD STADIUM,  ,  ,  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,|      ,  
53,CALIFORNIA AVENUE,  ,  ,  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,6:00  ,  ,|      ,  ,|      ,  ,|      ,  ,6:15  ,  ,|      ,  ,|      ,  ,|      ,  ,6:30  ,|      ,  ,|      ,  ,|      ,  ,6:45  ,  ,|      ,  ,|      ,  ,|      ,  ,7:00  ,  ,|      ,  ,|      ,  ,|      ,  ,7:15  ,  ,|      ,  ,|      ,  ,|      ,  ,7:30  ,|      ,  ,|      ,  ,|      ,  ,7:45  ,  ,|      ,  ,|      ,  ,|      ,  ,8:00  ,  ,|      ,  ,|      ,  ,|      ,  ,8:15  ,  ,|      ,  ,|      ,  ,|      ,  ,8:30  ,|      ,  ,|      ,  ,|      ,  ,8:45  ,  ,|      ,  ,|      ,  ,|      ,  ,9:00  ,  ,|      ,  ,|      ,  ,|      ,  ,9:15  ,  ,|      ,  ,|      ,  ,|      ,  ,9:30  ,|      ,  ,|      ,  ,|      ,  ,9:45  ,  ,|      ,  ,|      ,  ,|      ,  ,10:00  ,  ,|      ,  ,|      ,  ,|      ,  ,10:15  ,  ,|      ,  ,|      ,  ,|      ,  ,10:30  ,|      ,  ,|      ,|      ,  ,10:45  ,|      ,  ,  ,|      ,  ,  ,|      ,11:15  ,  ,|      ,  ,|      ,  ,11:30  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,12:15  ,  ,|      ,  ,|      ,  ,12:30  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,13:15  ,  ,|      ,  ,|      ,  ,13:30  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,14:15  ,  ,|      ,  ,|      ,  ,14:30  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,15:15  ,  ,|      ,  ,|      ,  ,15:30  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,|      ,  
57,SAN ANTONIO,  ,  ,  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,6:04  ,  ,|      ,  ,|      ,  ,|      ,  ,6:19  ,  ,|      ,  ,|      ,  ,|      ,  ,6:34  ,|      ,  ,|      ,  ,|      ,  ,6:49  ,  ,|      ,  ,|      ,  ,|      ,  ,7:04  ,  ,|      ,  ,|      ,  ,|      ,  ,7:19  ,  ,|      ,  ,|      ,  ,|      ,  ,7:34  ,|      ,  ,|      ,  ,|      ,  ,7:49  ,  ,|      ,  ,|      ,  ,|      ,  ,8:04  ,  ,|      ,  ,|      ,  ,|      ,  ,8:19  ,  ,|      ,  ,|      ,  ,|      ,  ,8:34  ,|      ,  ,|      ,  ,|      ,  ,8:49  ,  ,|      ,  ,|      ,  ,|      ,  ,9:04  ,  ,|      ,  ,|      ,  ,|      ,  ,9:19  ,  ,|      ,  ,|      ,  ,|      ,  ,9:34  ,|      ,  ,|      ,  ,|      ,  ,9:49  ,  ,|      ,  ,|      ,  ,|      ,  ,10:04  ,  ,|      ,  ,|      ,  ,|      ,  ,10:19  ,  ,|      ,  ,|      ,  ,|      ,  ,10:34  ,|      ,  ,|      ,|      ,  ,10:49  ,|      ,  ,  ,|      ,  ,  ,|      ,11:19  ,  ,|      ,  ,|      ,  ,11:34  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,12:19  ,  ,|      ,  ,|      ,  ,12:34  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,13:19  ,  ,|      ,  ,|      ,  ,13:34  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,14:19  ,  ,|      ,  ,|      ,  ,14:34  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,15:19  ,  ,|      ,  ,|      ,  ,15:34  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,|      ,  
