km,From:,HSR,HSR,REG (C-LCL),HSR,HSR,HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (CT-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP)
60,MOUNTAIN VIEW,  ,  ,  ,  ,|      ,  ,5:55  ,  ,5:59  ,  ,|      ,  ,6:07  ,  ,6:10  ,  ,6:14  ,  ,|      ,  ,6:22  ,  ,6:25  ,  ,6:29  ,  ,|      ,  ,6:37  ,6:40  ,  ,6:44  ,  ,|      ,  ,6:52  ,  ,6:55  ,  ,6:59  ,  ,|      ,  ,7:07  ,  ,7:10  ,  ,7:14  ,  ,|      ,  ,7:22  ,  ,7:25  ,  ,7:29  ,  ,|      ,  ,7:37  ,7:40  ,  ,7:44  ,  ,|      ,  ,7:52  ,  ,7:55  ,  ,7:59  ,  ,|      ,  ,8:07  ,  ,8:10  ,  ,8:14  ,  ,|      ,  ,8:22  ,  ,8:25  ,  ,8:29  ,  ,|      ,  ,8:37  ,8:40  ,  ,8:44  ,  ,|      ,  ,8:52  ,  ,8:55  ,  ,8:59  ,  ,|      ,  ,9:07  ,  ,9:10  ,  ,9:14  ,  ,|      ,  ,9:22  ,  ,9:25  ,  ,9:29  ,  ,|      ,  ,9:37  ,9:40  ,  ,9:44  ,  ,|      ,  ,9:52  ,  ,9:55  ,  ,9:59  ,  ,|      ,  ,10:07  ,  ,10:10  ,  ,10:14  ,  ,|      ,  ,10:22  ,  ,10:25  ,  ,10:29  ,  ,|      ,  ,10:37  ,10:40  ,  ,10:44  ,|      ,  ,10:52  ,10:59  ,  ,  ,|      ,  ,  ,11:14  ,11:22  ,  ,11:29  ,  ,|      ,  ,11:37  ,11:44  ,|      ,11:59  ,  ,  ,  ,|      ,  ,  ,12:14  ,12:22  ,  ,12:29  ,  ,|      ,  ,12:37  ,12:44  ,|      ,12:59  ,  ,  ,  ,|      ,  ,  ,13:14  ,13:22  ,  ,13:29  ,  ,|      ,  ,13:37  ,13:44  ,|      ,13:59  ,  ,  ,  ,|      ,  ,  ,14:14  ,14:22  ,  ,14:29  ,  ,|      ,  ,14:37  ,14:44  ,|      ,14:59  ,  ,  ,  ,|      ,  ,  ,15:14  ,15:22  ,  ,15:29  ,  ,|      ,  ,15:37  ,15:44  ,  ,|      ,  ,  ,15:55  ,  ,15:59  ,  ,|      ,  
65,SUNNYVALE,  ,  ,  ,  ,|      ,  ,5:59  ,  ,6:03  ,  ,|      ,  ,6:11  ,  ,6:14  ,  ,6:18  ,  ,|      ,  ,6:26  ,  ,6:29  ,  ,6:33  ,  ,|      ,  ,6:41  ,6:44  ,  ,6:48  ,  ,|      ,  ,6:56  ,  ,6:59  ,  ,7:03  ,  ,|      ,  ,7:11  ,  ,7:14  ,  ,7:18  ,  ,|      ,  ,7:26  ,  ,7:29  ,  ,7:33  ,  ,|      ,  ,7:41  ,7:44  ,  ,7:48  ,  ,|      ,  ,7:56  ,  ,7:59  ,  ,8:03  ,  ,|      ,  ,8:11  ,  ,8:14  ,  ,8:18  ,  ,|      ,  ,8:26  ,  ,8:29  ,  ,8:33  ,  ,|      ,  ,8:41  ,8:44  ,  ,8:48  ,  ,|      ,  ,8:56  ,  ,8:59  ,  ,9:03  ,  ,|      ,  ,9:11  ,  ,9:14  ,  ,9:18  ,  ,|      ,  ,9:26  ,  ,9:29  ,  ,9:33  ,  ,|      ,  ,9:41  ,9:44  ,  ,9:48  ,  ,|      ,  ,9:56  ,  ,9:59  ,  ,10:03  ,  ,|      ,  ,10:11  ,  ,10:14  ,  ,10:18  ,  ,|      ,  ,10:26  ,  ,10:29  ,  ,10:33  ,  ,|      ,  ,10:41  ,10:44  ,  ,10:48  ,|      ,  ,10:56  ,11:03  ,  ,  ,|      ,  ,  ,11:18  ,11:26  ,  ,11:33  ,  ,|      ,  ,11:41  ,11:48  ,|      ,12:03  ,  ,  ,  ,|      ,  ,  ,12:18  ,12:26  ,  ,12:33  ,  ,|      ,  ,12:41  ,12:48  ,|      ,13:03  ,  ,  ,  ,|      ,  ,  ,13:18  ,13:26  ,  ,13:33  ,  ,|      ,  ,13:41  ,13:48  ,|      ,14:03  ,  ,  ,  ,|      ,  ,  ,14:18  ,14:26  ,  ,14:33  ,  ,|      ,  ,14:41  ,14:48  ,|      ,15:03  ,  ,  ,  ,|      ,  ,  ,15:18  ,15:26  ,  ,15:33  ,  ,|      ,  ,15:41  ,15:48  ,  ,|      ,  ,  ,15:59  ,  ,16:03  ,  ,|      ,  
66,CP Hendy,  ,  ,  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,|      ,  
68,LAWRENCE,  ,  ,  ,  ,|      ,  ,6:03  ,  ,|      ,  ,|      ,  ,6:14  ,  ,6:18  ,  ,|      ,  ,|      ,  ,6:29  ,  ,6:33  ,  ,|      ,  ,|      ,  ,6:44  ,6:48  ,  ,|      ,  ,|      ,  ,6:59  ,  ,7:03  ,  ,|      ,  ,|      ,  ,7:14  ,  ,7:18  ,  ,|      ,  ,|      ,  ,7:29  ,  ,7:33  ,  ,|      ,  ,|      ,  ,7:44  ,7:48  ,  ,|      ,  ,|      ,  ,7:59  ,  ,8:03  ,  ,|      ,  ,|      ,  ,8:14  ,  ,8:18  ,  ,|      ,  ,|      ,  ,8:29  ,  ,8:33  ,  ,|      ,  ,|      ,  ,8:44  ,8:48  ,  ,|      ,  ,|      ,  ,8:59  ,  ,9:03  ,  ,|      ,  ,|      ,  ,9:14  ,  ,9:18  ,  ,|      ,  ,|      ,  ,9:29  ,  ,9:33  ,  ,|      ,  ,|      ,  ,9:44  ,9:48  ,  ,|      ,  ,|      ,  ,9:59  ,  ,10:03  ,  ,|      ,  ,|      ,  ,10:14  ,  ,10:18  ,  ,|      ,  ,|      ,  ,10:29  ,  ,10:33  ,  ,|      ,  ,|      ,  ,10:44  ,10:48  ,  ,|      ,|      ,  ,10:59  ,|      ,  ,  ,|      ,  ,  ,|      ,11:29  ,  ,|      ,  ,|      ,  ,11:44  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,12:29  ,  ,|      ,  ,|      ,  ,12:44  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,13:29  ,  ,|      ,  ,|      ,  ,13:44  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,14:29  ,  ,|      ,  ,|      ,  ,14:44  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,15:29  ,  ,|      ,  ,|      ,  ,15:44  ,|      ,  ,|      ,  ,  ,16:03  ,  ,|      ,  ,|      ,  
74,SANTA CLARA,  ,  ,  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,6:19  ,  ,|      ,  ,|      ,  ,|      ,  ,6:34  ,  ,|      ,  ,|      ,  ,|      ,  ,6:49  ,|      ,  ,|      ,  ,|      ,  ,7:04  ,  ,|      ,  ,|      ,  ,|      ,  ,7:19  ,  ,|      ,  ,|      ,  ,|      ,  ,7:34  ,  ,|      ,  ,|      ,  ,|      ,  ,7:49  ,|      ,  ,|      ,  ,|      ,  ,8:04  ,  ,|      ,  ,|      ,  ,|      ,  ,8:19  ,  ,|      ,  ,|      ,  ,|      ,  ,8:34  ,  ,|      ,  ,|      ,  ,|      ,  ,8:49  ,|      ,  ,|      ,  ,|      ,  ,9:04  ,  ,|      ,  ,|      ,  ,|      ,  ,9:19  ,  ,|      ,  ,|      ,  ,|      ,  ,9:34  ,  ,|      ,  ,|      ,  ,|      ,  ,9:49  ,|      ,  ,|      ,  ,|      ,  ,10:04  ,  ,|      ,  ,|      ,  ,|      ,  ,10:19  ,  ,|      ,  ,|      ,  ,|      ,  ,10:34  ,  ,|      ,  ,|      ,  ,|      ,  ,10:49  ,|      ,  ,|      ,|      ,  ,11:04  ,|      ,  ,  ,|      ,  ,  ,|      ,11:34  ,  ,|      ,  ,|      ,  ,11:49  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,12:34  ,  ,|      ,  ,|      ,  ,12:49  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,13:34  ,  ,|      ,  ,|      ,  ,13:49  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,14:34  ,  ,|      ,  ,|      ,  ,14:49  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,15:34  ,  ,|      ,  ,|      ,  ,15:49  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,|      ,  
76,COLLEGE PARK,  ,  ,  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,↴      ,|      ,  ,|      ,  ,|      ,  ,|      ,↴      ,|      ,  ,|      ,  ,|      ,  ,|      ,↴      ,|      ,|      ,  ,|      ,  ,|      ,↴      ,|      ,  ,|      ,  ,|      ,  ,|      ,↴      ,|      ,  ,|      ,  ,|      ,  ,|      ,↴      ,|      ,  ,|      ,  ,|      ,  ,|      ,↴      ,|      ,|      ,  ,|      ,  ,|      ,↴      ,|      ,  ,|      ,  ,|      ,  ,|      ,↴      ,|      ,  ,|      ,  ,|      ,  ,|      ,↴      ,|      ,  ,|      ,  ,|      ,  ,|      ,↴      ,|      ,|      ,  ,|      ,  ,|      ,↴      ,|      ,  ,|      ,  ,|      ,  ,|      ,↴      ,|      ,  ,|      ,  ,|      ,  ,|      ,↴      ,|      ,  ,|      ,  ,|      ,  ,|      ,↴      ,|      ,|      ,  ,|      ,  ,|      ,↴      ,|      ,  ,|      ,  ,|      ,  ,|      ,↴      ,|      ,  ,|      ,  ,|      ,  ,|      ,↴      ,|      ,  ,|      ,  ,|      ,  ,|      ,↴      ,|      ,|      ,  ,|      ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,  ,|      ,↴      ,|      ,|      ,|      ,|      ,  ,↴      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,  ,|      ,↴      ,|      ,|      ,|      ,|      ,  ,↴      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,  ,|      ,↴      ,|      ,|      ,|      ,|      ,  ,↴      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,  ,|      ,↴      ,|      ,|      ,|      ,|      ,  ,↴      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,  ,|      ,↴      ,|      ,|      ,  ,|      ,↴      ,  ,|      ,  ,|      ,  ,|      ,↴      
78,SAN JOSE,5:13  ,5:28  ,  ,5:43  ,6:02  ,6:13  ,6:15  ,  ,↳     ,  ,6:17  ,6:19  ,6:26  ,6:28  ,6:30  ,  ,↳     ,  ,6:32  ,6:34  ,6:41  ,6:43  ,6:45  ,  ,↳     ,  ,6:47  ,6:49  ,6:56  ,7:00  ,  ,↳     ,  ,7:02  ,7:04  ,7:11  ,7:13  ,7:15  ,  ,↳     ,  ,7:17  ,7:19  ,7:26  ,7:28  ,7:30  ,  ,↳     ,  ,7:32  ,7:34  ,7:41  ,7:43  ,7:45  ,  ,↳     ,  ,7:47  ,7:49  ,7:56  ,8:00  ,  ,↳     ,  ,8:02  ,8:04  ,8:11  ,8:13  ,8:15  ,  ,↳     ,  ,8:17  ,8:19  ,8:26  ,8:28  ,8:30  ,  ,↳     ,  ,8:32  ,8:34  ,8:41  ,8:43  ,8:45  ,  ,↳     ,  ,8:47  ,8:49  ,8:56  ,9:00  ,  ,↳     ,  ,9:02  ,9:04  ,9:11  ,9:13  ,9:15  ,  ,↳     ,  ,9:17  ,9:19  ,9:26  ,9:28  ,9:30  ,  ,↳     ,  ,9:32  ,9:34  ,9:41  ,9:43  ,9:45  ,  ,↳     ,  ,9:47  ,9:49  ,9:56  ,10:00  ,  ,↳     ,  ,10:02  ,10:04  ,10:11  ,10:13  ,10:15  ,  ,↳     ,  ,10:17  ,10:19  ,10:26  ,10:28  ,10:30  ,  ,↳     ,  ,10:32  ,10:34  ,10:41  ,10:43  ,10:45  ,  ,↳     ,  ,10:47  ,10:49  ,10:56  ,11:00  ,  ,↳     ,11:02  ,11:04  ,11:11  ,↳     ,  ,11:13  ,11:17  ,11:19  ,11:28  ,11:34  ,11:41  ,  ,↳     ,11:43  ,11:47  ,11:49  ,11:56  ,↳     ,12:02  ,↳     ,  ,12:04  ,12:13  ,12:17  ,12:19  ,12:28  ,12:34  ,12:41  ,  ,↳     ,12:43  ,12:47  ,12:49  ,12:56  ,↳     ,13:02  ,↳     ,  ,13:04  ,13:13  ,13:17  ,13:19  ,13:28  ,13:34  ,13:41  ,  ,↳     ,13:43  ,13:47  ,13:49  ,13:56  ,↳     ,14:02  ,↳     ,  ,14:04  ,14:13  ,14:17  ,14:19  ,14:28  ,14:34  ,14:41  ,  ,↳     ,14:43  ,14:47  ,14:49  ,14:56  ,↳     ,15:02  ,↳     ,  ,15:04  ,15:13  ,15:17  ,15:19  ,15:28  ,15:34  ,15:41  ,  ,↳     ,15:43  ,15:47  ,15:49  ,15:56  ,↳     ,  ,16:02  ,16:04  ,16:13  ,16:15  ,  ,↳     ,  ,16:17  ,16:19  
81,TAMIEN (HSR) $,|      ,|      ,  ,|      ,|      ,|      ,o 6:18  ,  ,  ,  ,|      ,6:23  ,o 6:29  ,|      ,o 6:33  ,  ,  ,  ,|      ,6:38  ,o 6:44  ,|      ,o 6:48  ,  ,  ,  ,|      ,6:53  ,o 6:59  ,o 7:03  ,  ,  ,  ,|      ,7:08  ,o 7:14  ,|      ,o 7:18  ,  ,  ,  ,|      ,7:23  ,o 7:29  ,|      ,o 7:33  ,  ,  ,  ,|      ,7:38  ,o 7:44  ,|      ,o 7:48  ,  ,  ,  ,|      ,7:53  ,o 7:59  ,o 8:03  ,  ,  ,  ,|      ,8:08  ,o 8:14  ,|      ,o 8:18  ,  ,  ,  ,|      ,8:23  ,o 8:29  ,|      ,o 8:33  ,  ,  ,  ,|      ,8:38  ,o 8:44  ,|      ,o 8:48  ,  ,  ,  ,|      ,8:53  ,o 8:59  ,o 9:03  ,  ,  ,  ,|      ,9:08  ,o 9:14  ,|      ,o 9:18  ,  ,  ,  ,|      ,9:23  ,o 9:29  ,|      ,o 9:33  ,  ,  ,  ,|      ,9:38  ,o 9:44  ,|      ,o 9:48  ,  ,  ,  ,|      ,9:53  ,o 9:59  ,o 10:03  ,  ,  ,  ,|      ,10:08  ,o 10:14  ,|      ,o 10:18  ,  ,  ,  ,|      ,10:23  ,o 10:29  ,|      ,o 10:33  ,  ,  ,  ,|      ,10:38  ,o 10:44  ,|      ,o 10:48  ,  ,  ,  ,|      ,10:53  ,o 10:59  ,o 11:03  ,  ,  ,|      ,11:08  ,o 11:14  ,  ,  ,|      ,|      ,11:23  ,|      ,11:38  ,o 11:44  ,  ,  ,|      ,|      ,11:53  ,o 11:59  ,  ,|      ,  ,  ,12:08  ,|      ,|      ,12:23  ,|      ,12:38  ,o 12:44  ,  ,  ,|      ,|      ,12:53  ,o 12:59  ,  ,|      ,  ,  ,13:08  ,|      ,|      ,13:23  ,|      ,13:38  ,o 13:44  ,  ,  ,|      ,|      ,13:53  ,o 13:59  ,  ,|      ,  ,  ,14:08  ,|      ,|      ,14:23  ,|      ,14:38  ,o 14:44  ,  ,  ,|      ,|      ,14:53  ,o 14:59  ,  ,|      ,  ,  ,15:08  ,|      ,|      ,15:23  ,|      ,15:38  ,o 15:44  ,  ,  ,|      ,|      ,15:53  ,o 15:59  ,  ,  ,|      ,16:08  ,|      ,o 16:18  ,  ,  ,  ,|      ,16:23  
86,CAPITOL (HSR) $,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,6:27  ,  ,|      ,  ,  ,  ,  ,|      ,6:41  ,  ,|      ,  ,  ,  ,  ,|      ,6:57  ,  ,  ,  ,  ,  ,|      ,7:11  ,  ,|      ,  ,  ,  ,  ,|      ,7:27  ,  ,|      ,  ,  ,  ,  ,|      ,7:41  ,  ,|      ,  ,  ,  ,  ,|      ,7:57  ,  ,  ,  ,  ,  ,|      ,8:11  ,  ,|      ,  ,  ,  ,  ,|      ,8:27  ,  ,|      ,  ,  ,  ,  ,|      ,8:41  ,  ,|      ,  ,  ,  ,  ,|      ,8:57  ,  ,  ,  ,  ,  ,|      ,9:11  ,  ,|      ,  ,  ,  ,  ,|      ,9:27  ,  ,|      ,  ,  ,  ,  ,|      ,9:41  ,  ,|      ,  ,  ,  ,  ,|      ,9:57  ,  ,  ,  ,  ,  ,|      ,10:11  ,  ,|      ,  ,  ,  ,  ,|      ,10:27  ,  ,|      ,  ,  ,  ,  ,|      ,10:41  ,  ,|      ,  ,  ,  ,  ,|      ,10:57  ,  ,  ,  ,  ,|      ,11:11  ,  ,  ,  ,|      ,|      ,11:27  ,|      ,11:41  ,  ,  ,  ,|      ,|      ,11:57  ,  ,  ,|      ,  ,  ,12:11  ,|      ,|      ,12:27  ,|      ,12:41  ,  ,  ,  ,|      ,|      ,12:57  ,  ,  ,|      ,  ,  ,13:11  ,|      ,|      ,13:27  ,|      ,13:41  ,  ,  ,  ,|      ,|      ,13:57  ,  ,  ,|      ,  ,  ,14:11  ,|      ,|      ,14:27  ,|      ,14:41  ,  ,  ,  ,|      ,|      ,14:57  ,  ,  ,|      ,  ,  ,15:11  ,|      ,|      ,15:27  ,|      ,15:41  ,  ,  ,  ,|      ,|      ,15:57  ,  ,  ,  ,|      ,16:11  ,|      ,  ,  ,  ,  ,|      ,16:27  
91,BLOSSOM HILL (HSR) $,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,6:31  ,  ,|      ,  ,  ,  ,  ,|      ,o 6:45  ,  ,|      ,  ,  ,  ,  ,|      ,7:01  ,  ,  ,  ,  ,  ,|      ,o 7:15  ,  ,|      ,  ,  ,  ,  ,|      ,7:31  ,  ,|      ,  ,  ,  ,  ,|      ,o 7:45  ,  ,|      ,  ,  ,  ,  ,|      ,8:01  ,  ,  ,  ,  ,  ,|      ,o 8:15  ,  ,|      ,  ,  ,  ,  ,|      ,8:31  ,  ,|      ,  ,  ,  ,  ,|      ,o 8:45  ,  ,|      ,  ,  ,  ,  ,|      ,9:01  ,  ,  ,  ,  ,  ,|      ,o 9:15  ,  ,|      ,  ,  ,  ,  ,|      ,9:31  ,  ,|      ,  ,  ,  ,  ,|      ,o 9:45  ,  ,|      ,  ,  ,  ,  ,|      ,10:01  ,  ,  ,  ,  ,  ,|      ,o 10:15  ,  ,|      ,  ,  ,  ,  ,|      ,10:31  ,  ,|      ,  ,  ,  ,  ,|      ,o 10:45  ,  ,|      ,  ,  ,  ,  ,|      ,11:01  ,  ,  ,  ,  ,|      ,o 11:15  ,  ,  ,  ,|      ,|      ,11:31  ,|      ,o 11:45  ,  ,  ,  ,|      ,|      ,12:01  ,  ,  ,|      ,  ,  ,o 12:15  ,|      ,|      ,12:31  ,|      ,o 12:45  ,  ,  ,  ,|      ,|      ,13:01  ,  ,  ,|      ,  ,  ,o 13:15  ,|      ,|      ,13:31  ,|      ,o 13:45  ,  ,  ,  ,|      ,|      ,14:01  ,  ,  ,|      ,  ,  ,o 14:15  ,|      ,|      ,14:31  ,|      ,o 14:45  ,  ,  ,  ,|      ,|      ,15:01  ,  ,  ,|      ,  ,  ,o 15:15  ,|      ,|      ,15:31  ,|      ,o 15:45  ,  ,  ,  ,|      ,|      ,16:01  ,  ,  ,  ,|      ,o 16:15  ,|      ,  ,  ,  ,  ,|      ,16:31  
110,MORGAN HILL (HSR) $,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,6:40  ,  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,7:10  ,  ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,7:40  ,  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,8:10  ,  ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,8:40  ,  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,9:10  ,  ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,9:40  ,  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,10:10  ,  ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,10:40  ,  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,11:10  ,  ,  ,  ,  ,|      ,  ,  ,  ,  ,|      ,|      ,11:40  ,|      ,  ,  ,  ,  ,|      ,|      ,12:10  ,  ,  ,|      ,  ,  ,  ,|      ,|      ,12:40  ,|      ,  ,  ,  ,  ,|      ,|      ,13:10  ,  ,  ,|      ,  ,  ,  ,|      ,|      ,13:40  ,|      ,  ,  ,  ,  ,|      ,|      ,14:10  ,  ,  ,|      ,  ,  ,  ,|      ,|      ,14:40  ,|      ,  ,  ,  ,  ,|      ,|      ,15:10  ,  ,  ,|      ,  ,  ,  ,|      ,|      ,15:40  ,|      ,  ,  ,  ,  ,|      ,|      ,16:10  ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,  ,|      ,16:40  
116,SAN MARTIIN (HSR) $,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,|      ,  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,|      ,  ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,|      ,  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,|      ,  ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,|      ,  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,|      ,  ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,|      ,  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,|      ,  ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,|      ,  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,|      ,  ,  ,  ,  ,|      ,  ,  ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,  ,|      ,|      
126,GILROY (HSR) $,5:38  ,5:53  ,  ,6:08  ,6:27  ,6:38  ,  ,  ,  ,  ,6:42  ,o 6:49  ,  ,6:53  ,  ,  ,  ,  ,6:57  ,  ,  ,7:08  ,  ,  ,  ,  ,7:12  ,o 7:19  ,  ,  ,  ,  ,  ,7:27  ,  ,  ,7:38  ,  ,  ,  ,  ,7:42  ,o 7:49  ,  ,7:53  ,  ,  ,  ,  ,7:57  ,  ,  ,8:08  ,  ,  ,  ,  ,8:12  ,o 8:19  ,  ,  ,  ,  ,  ,8:27  ,  ,  ,8:38  ,  ,  ,  ,  ,8:42  ,o 8:49  ,  ,8:53  ,  ,  ,  ,  ,8:57  ,  ,  ,9:08  ,  ,  ,  ,  ,9:12  ,o 9:19  ,  ,  ,  ,  ,  ,9:27  ,  ,  ,9:38  ,  ,  ,  ,  ,9:42  ,o 9:49  ,  ,9:53  ,  ,  ,  ,  ,9:57  ,  ,  ,10:08  ,  ,  ,  ,  ,10:12  ,o 10:19  ,  ,  ,  ,  ,  ,10:27  ,  ,  ,10:38  ,  ,  ,  ,  ,10:42  ,o 10:49  ,  ,10:53  ,  ,  ,  ,  ,10:57  ,  ,  ,11:08  ,  ,  ,  ,  ,11:12  ,o 11:19  ,  ,  ,  ,  ,11:27  ,  ,  ,  ,  ,11:38  ,11:42  ,o 11:49  ,11:53  ,  ,  ,  ,  ,12:08  ,12:12  ,o 12:19  ,  ,  ,12:27  ,  ,  ,  ,12:38  ,12:42  ,o 12:49  ,12:53  ,  ,  ,  ,  ,13:08  ,13:12  ,o 13:19  ,  ,  ,13:27  ,  ,  ,  ,13:38  ,13:42  ,o 13:49  ,13:53  ,  ,  ,  ,  ,14:08  ,14:12  ,o 14:19  ,  ,  ,14:27  ,  ,  ,  ,14:38  ,14:42  ,o 14:49  ,14:53  ,  ,  ,  ,  ,15:08  ,15:12  ,o 15:19  ,  ,  ,15:27  ,  ,  ,  ,15:38  ,15:42  ,o 15:49  ,15:53  ,  ,  ,  ,  ,16:08  ,16:12  ,o 16:19  ,  ,  ,  ,16:27  ,  ,16:38  ,  ,  ,  ,  ,16:42  ,o 16:49  