km,From:,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR
88,BELMONT,  ,|      ,|      ,  ,|      ,  ,  ,|      ,6:20  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,6:50  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,7:20  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,7:50  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,8:20  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,8:50  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,9:20  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,9:50  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,10:20  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,10:50  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,11:20  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,  ,|      ,12:20  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,  ,|      ,13:20  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,  ,|      ,14:20  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,  ,|      ,15:20  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,  ,  ,|      ,16:20  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,16:50  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,17:20  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,17:50  ,|      ,  ,  ,|      ,|      ,|      ,  ,  
91,HILLSDALE,  ,6:04  ,6:08  ,  ,6:19  ,  ,  ,|      ,6:23  ,6:34  ,  ,  ,  ,|      ,6:38  ,6:49  ,  ,  ,  ,|      ,6:53  ,7:04  ,  ,  ,|      ,7:08  ,7:19  ,  ,  ,  ,|      ,7:23  ,7:34  ,  ,  ,  ,|      ,7:38  ,7:49  ,  ,  ,  ,|      ,7:53  ,8:04  ,  ,  ,|      ,8:08  ,8:19  ,  ,  ,  ,|      ,8:23  ,8:34  ,  ,  ,  ,|      ,8:38  ,8:49  ,  ,  ,  ,|      ,8:53  ,9:04  ,  ,  ,|      ,9:08  ,9:19  ,  ,  ,  ,|      ,9:23  ,9:34  ,  ,  ,  ,|      ,9:38  ,9:49  ,  ,  ,  ,|      ,9:53  ,10:04  ,  ,  ,|      ,10:08  ,10:19  ,  ,  ,  ,|      ,10:23  ,10:34  ,  ,  ,  ,|      ,10:38  ,10:49  ,  ,  ,  ,|      ,10:53  ,11:04  ,  ,  ,|      ,11:08  ,11:19  ,  ,  ,|      ,11:23  ,11:34  ,  ,  ,|      ,11:49  ,  ,  ,  ,|      ,12:04  ,12:08  ,  ,12:19  ,  ,  ,|      ,12:23  ,12:34  ,  ,  ,|      ,12:49  ,  ,  ,  ,|      ,13:04  ,13:08  ,  ,13:19  ,  ,  ,|      ,13:23  ,13:34  ,  ,  ,|      ,13:49  ,  ,  ,  ,|      ,14:04  ,14:08  ,  ,14:19  ,  ,  ,|      ,14:23  ,14:34  ,  ,  ,|      ,14:49  ,  ,  ,  ,|      ,15:04  ,15:08  ,  ,15:19  ,  ,  ,|      ,15:23  ,15:34  ,  ,  ,|      ,15:49  ,  ,  ,  ,|      ,16:04  ,16:08  ,  ,16:19  ,  ,  ,  ,|      ,16:23  ,16:34  ,  ,  ,  ,|      ,16:38  ,16:49  ,  ,  ,  ,|      ,16:53  ,17:04  ,  ,  ,|      ,17:08  ,17:19  ,  ,  ,  ,|      ,17:23  ,17:34  ,  ,  ,  ,|      ,17:38  ,17:49  ,  ,  ,  ,|      ,17:53  ,18:04  ,  ,  ,|      ,18:08  ,18:19  ,  ,  
93,HAYWARD PARK,  ,|      ,6:11  ,  ,|      ,  ,  ,|      ,6:27  ,|      ,  ,  ,  ,|      ,6:41  ,|      ,  ,  ,  ,|      ,6:57  ,|      ,  ,  ,|      ,7:11  ,|      ,  ,  ,  ,|      ,7:27  ,|      ,  ,  ,  ,|      ,7:41  ,|      ,  ,  ,  ,|      ,7:57  ,|      ,  ,  ,|      ,8:11  ,|      ,  ,  ,  ,|      ,8:27  ,|      ,  ,  ,  ,|      ,8:41  ,|      ,  ,  ,  ,|      ,8:57  ,|      ,  ,  ,|      ,9:11  ,|      ,  ,  ,  ,|      ,9:27  ,|      ,  ,  ,  ,|      ,9:41  ,|      ,  ,  ,  ,|      ,9:57  ,|      ,  ,  ,|      ,10:11  ,|      ,  ,  ,  ,|      ,10:27  ,|      ,  ,  ,  ,|      ,10:41  ,|      ,  ,  ,  ,|      ,10:57  ,|      ,  ,  ,|      ,11:11  ,|      ,  ,  ,|      ,11:27  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,12:11  ,  ,|      ,  ,  ,|      ,12:27  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,13:11  ,  ,|      ,  ,  ,|      ,13:27  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,14:11  ,  ,|      ,  ,  ,|      ,14:27  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,15:11  ,  ,|      ,  ,  ,|      ,15:27  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,16:11  ,  ,|      ,  ,  ,  ,|      ,16:27  ,|      ,  ,  ,  ,|      ,16:41  ,|      ,  ,  ,  ,|      ,16:57  ,|      ,  ,  ,|      ,17:11  ,|      ,  ,  ,  ,|      ,17:27  ,|      ,  ,  ,  ,|      ,17:41  ,|      ,  ,  ,  ,|      ,17:57  ,|      ,  ,  ,|      ,18:11  ,|      ,  ,  
95,SAN MATEO,  ,|      ,6:14  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,6:44  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,7:14  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,7:44  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,8:14  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,8:44  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,9:14  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,9:44  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,10:14  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,10:44  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,11:14  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,12:14  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,13:14  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,14:14  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,15:14  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,16:14  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,16:44  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,17:14  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,17:44  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,18:14  ,|      ,  ,  
97,BURLINGAME,  ,|      ,|      ,  ,|      ,  ,  ,|      ,6:31  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,7:01  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,7:31  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,8:01  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,8:31  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,9:01  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,9:31  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,10:01  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,10:31  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,11:01  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,11:31  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,  ,|      ,12:31  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,  ,|      ,13:31  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,  ,|      ,14:31  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,  ,|      ,15:31  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,  ,  ,|      ,16:31  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,17:01  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,17:31  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,18:01  ,|      ,  ,  ,|      ,|      ,|      ,  ,  
99,BROADWAY,  ,|      ,6:17  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,6:47  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,7:17  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,7:47  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,8:17  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,8:47  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,9:17  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,9:47  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,10:17  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,10:47  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,11:17  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,12:17  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,13:17  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,14:17  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,15:17  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,16:17  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,16:47  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,17:17  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,17:47  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,18:17  ,|      ,  ,  
101,MILLBRAE,  ,6:10  ,|      ,  ,6:25  ,  ,  ,6:31  ,6:34  ,6:40  ,  ,  ,  ,6:46  ,|      ,6:55  ,  ,  ,  ,7:01  ,7:04  ,7:10  ,  ,  ,7:16  ,|      ,7:25  ,  ,  ,  ,7:31  ,7:34  ,7:40  ,  ,  ,  ,7:46  ,|      ,7:55  ,  ,  ,  ,8:01  ,8:04  ,8:10  ,  ,  ,8:16  ,|      ,8:25  ,  ,  ,  ,8:31  ,8:34  ,8:40  ,  ,  ,  ,8:46  ,|      ,8:55  ,  ,  ,  ,9:01  ,9:04  ,9:10  ,  ,  ,9:16  ,|      ,9:25  ,  ,  ,  ,9:31  ,9:34  ,9:40  ,  ,  ,  ,9:46  ,|      ,9:55  ,  ,  ,  ,10:01  ,10:04  ,10:10  ,  ,  ,10:16  ,|      ,10:25  ,  ,  ,  ,10:31  ,10:34  ,10:40  ,  ,  ,  ,10:46  ,|      ,10:55  ,  ,  ,  ,11:01  ,11:04  ,11:10  ,  ,  ,11:16  ,|      ,11:25  ,  ,  ,11:31  ,11:34  ,11:40  ,  ,  ,11:46  ,11:55  ,  ,  ,  ,12:01  ,12:10  ,|      ,  ,12:25  ,  ,  ,12:31  ,12:34  ,12:40  ,  ,  ,12:46  ,12:55  ,  ,  ,  ,13:01  ,13:10  ,|      ,  ,13:25  ,  ,  ,13:31  ,13:34  ,13:40  ,  ,  ,13:46  ,13:55  ,  ,  ,  ,14:01  ,14:10  ,|      ,  ,14:25  ,  ,  ,14:31  ,14:34  ,14:40  ,  ,  ,14:46  ,14:55  ,  ,  ,  ,15:01  ,15:10  ,|      ,  ,15:25  ,  ,  ,15:31  ,15:34  ,15:40  ,  ,  ,15:46  ,15:55  ,  ,  ,  ,16:01  ,16:10  ,|      ,  ,16:25  ,  ,  ,  ,16:31  ,16:34  ,16:40  ,  ,  ,  ,16:46  ,|      ,16:55  ,  ,  ,  ,17:01  ,17:04  ,17:10  ,  ,  ,17:16  ,|      ,17:25  ,  ,  ,  ,17:31  ,17:34  ,17:40  ,  ,  ,  ,17:46  ,|      ,17:55  ,  ,  ,  ,18:01  ,18:04  ,18:10  ,  ,  ,18:16  ,|      ,18:25  ,  ,  
106,SAN BRUNO,  ,|      ,6:22  ,  ,|      ,  ,  ,|      ,6:38  ,|      ,  ,  ,  ,|      ,6:52  ,|      ,  ,  ,  ,|      ,7:08  ,|      ,  ,  ,|      ,7:22  ,|      ,  ,  ,  ,|      ,7:38  ,|      ,  ,  ,  ,|      ,7:52  ,|      ,  ,  ,  ,|      ,8:08  ,|      ,  ,  ,|      ,8:22  ,|      ,  ,  ,  ,|      ,8:38  ,|      ,  ,  ,  ,|      ,8:52  ,|      ,  ,  ,  ,|      ,9:08  ,|      ,  ,  ,|      ,9:22  ,|      ,  ,  ,  ,|      ,9:38  ,|      ,  ,  ,  ,|      ,9:52  ,|      ,  ,  ,  ,|      ,10:08  ,|      ,  ,  ,|      ,10:22  ,|      ,  ,  ,  ,|      ,10:38  ,|      ,  ,  ,  ,|      ,10:52  ,|      ,  ,  ,  ,|      ,11:08  ,|      ,  ,  ,|      ,11:22  ,|      ,  ,  ,|      ,11:38  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,12:22  ,  ,|      ,  ,  ,|      ,12:38  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,13:22  ,  ,|      ,  ,  ,|      ,13:38  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,14:22  ,  ,|      ,  ,  ,|      ,14:38  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,15:22  ,  ,|      ,  ,  ,|      ,15:38  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,16:22  ,  ,|      ,  ,  ,  ,|      ,16:38  ,|      ,  ,  ,  ,|      ,16:52  ,|      ,  ,  ,  ,|      ,17:08  ,|      ,  ,  ,|      ,17:22  ,|      ,  ,  ,  ,|      ,17:38  ,|      ,  ,  ,  ,|      ,17:52  ,|      ,  ,  ,  ,|      ,18:08  ,|      ,  ,  ,|      ,18:22  ,|      ,  ,  
109,SOUTH SAN FRANCISCO ,  ,6:15  ,6:25  ,  ,6:30  ,  ,  ,|      ,6:41  ,6:45  ,  ,  ,  ,|      ,6:55  ,7:00  ,  ,  ,  ,|      ,7:11  ,7:15  ,  ,  ,|      ,7:25  ,7:30  ,  ,  ,  ,|      ,7:41  ,7:45  ,  ,  ,  ,|      ,7:55  ,8:00  ,  ,  ,  ,|      ,8:11  ,8:15  ,  ,  ,|      ,8:25  ,8:30  ,  ,  ,  ,|      ,8:41  ,8:45  ,  ,  ,  ,|      ,8:55  ,9:00  ,  ,  ,  ,|      ,9:11  ,9:15  ,  ,  ,|      ,9:25  ,9:30  ,  ,  ,  ,|      ,9:41  ,9:45  ,  ,  ,  ,|      ,9:55  ,10:00  ,  ,  ,  ,|      ,10:11  ,10:15  ,  ,  ,|      ,10:25  ,10:30  ,  ,  ,  ,|      ,10:41  ,10:45  ,  ,  ,  ,|      ,10:55  ,11:00  ,  ,  ,  ,|      ,11:11  ,11:15  ,  ,  ,|      ,11:25  ,11:30  ,  ,  ,|      ,11:41  ,11:45  ,  ,  ,|      ,12:00  ,  ,  ,  ,|      ,12:15  ,12:25  ,  ,12:30  ,  ,  ,|      ,12:41  ,12:45  ,  ,  ,|      ,13:00  ,  ,  ,  ,|      ,13:15  ,13:25  ,  ,13:30  ,  ,  ,|      ,13:41  ,13:45  ,  ,  ,|      ,14:00  ,  ,  ,  ,|      ,14:15  ,14:25  ,  ,14:30  ,  ,  ,|      ,14:41  ,14:45  ,  ,  ,|      ,15:00  ,  ,  ,  ,|      ,15:15  ,15:25  ,  ,15:30  ,  ,  ,|      ,15:41  ,15:45  ,  ,  ,|      ,16:00  ,  ,  ,  ,|      ,16:15  ,16:25  ,  ,16:30  ,  ,  ,  ,|      ,16:41  ,16:45  ,  ,  ,  ,|      ,16:55  ,17:00  ,  ,  ,  ,|      ,17:11  ,17:15  ,  ,  ,|      ,17:25  ,17:30  ,  ,  ,  ,|      ,17:41  ,17:45  ,  ,  ,  ,|      ,17:55  ,18:00  ,  ,  ,  ,|      ,18:11  ,18:15  ,  ,  ,|      ,18:25  ,18:30  ,  ,  
115,BAYSHORE,  ,|      ,6:30  ,  ,|      ,  ,  ,|      ,6:45  ,|      ,  ,  ,  ,|      ,7:00  ,|      ,  ,  ,  ,|      ,7:15  ,|      ,  ,  ,|      ,7:30  ,|      ,  ,  ,  ,|      ,7:45  ,|      ,  ,  ,  ,|      ,8:00  ,|      ,  ,  ,  ,|      ,8:15  ,|      ,  ,  ,|      ,8:30  ,|      ,  ,  ,  ,|      ,8:45  ,|      ,  ,  ,  ,|      ,9:00  ,|      ,  ,  ,  ,|      ,9:15  ,|      ,  ,  ,|      ,9:30  ,|      ,  ,  ,  ,|      ,9:45  ,|      ,  ,  ,  ,|      ,10:00  ,|      ,  ,  ,  ,|      ,10:15  ,|      ,  ,  ,|      ,10:30  ,|      ,  ,  ,  ,|      ,10:45  ,|      ,  ,  ,  ,|      ,11:00  ,|      ,  ,  ,  ,|      ,11:15  ,|      ,  ,  ,|      ,11:30  ,|      ,  ,  ,|      ,11:45  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,12:30  ,  ,|      ,  ,  ,|      ,12:45  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,13:30  ,  ,|      ,  ,  ,|      ,13:45  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,14:30  ,  ,|      ,  ,  ,|      ,14:45  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,15:30  ,  ,|      ,  ,  ,|      ,15:45  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,16:30  ,  ,|      ,  ,  ,  ,|      ,16:45  ,|      ,  ,  ,  ,|      ,17:00  ,|      ,  ,  ,  ,|      ,17:15  ,|      ,  ,  ,|      ,17:30  ,|      ,  ,  ,  ,|      ,17:45  ,|      ,  ,  ,  ,|      ,18:00  ,|      ,  ,  ,  ,|      ,18:15  ,|      ,  ,  ,|      ,18:30  ,|      ,  ,  
121,22nd STREET,  ,6:23  ,6:34  ,  ,6:38  ,  ,  ,|      ,6:50  ,6:53  ,  ,  ,  ,|      ,7:04  ,7:08  ,  ,  ,  ,|      ,7:20  ,7:23  ,  ,  ,|      ,7:34  ,7:38  ,  ,  ,  ,|      ,7:50  ,7:53  ,  ,  ,  ,|      ,8:04  ,8:08  ,  ,  ,  ,|      ,8:20  ,8:23  ,  ,  ,|      ,8:34  ,8:38  ,  ,  ,  ,|      ,8:50  ,8:53  ,  ,  ,  ,|      ,9:04  ,9:08  ,  ,  ,  ,|      ,9:20  ,9:23  ,  ,  ,|      ,9:34  ,9:38  ,  ,  ,  ,|      ,9:50  ,9:53  ,  ,  ,  ,|      ,10:04  ,10:08  ,  ,  ,  ,|      ,10:20  ,10:23  ,  ,  ,|      ,10:34  ,10:38  ,  ,  ,  ,|      ,10:50  ,10:53  ,  ,  ,  ,|      ,11:04  ,11:08  ,  ,  ,  ,|      ,11:20  ,11:23  ,  ,  ,|      ,11:34  ,11:38  ,  ,  ,|      ,11:50  ,11:53  ,  ,  ,|      ,12:08  ,  ,  ,  ,|      ,12:23  ,12:34  ,  ,12:38  ,  ,  ,|      ,12:50  ,12:53  ,  ,  ,|      ,13:08  ,  ,  ,  ,|      ,13:23  ,13:34  ,  ,13:38  ,  ,  ,|      ,13:50  ,13:53  ,  ,  ,|      ,14:08  ,  ,  ,  ,|      ,14:23  ,14:34  ,  ,14:38  ,  ,  ,|      ,14:50  ,14:53  ,  ,  ,|      ,15:08  ,  ,  ,  ,|      ,15:23  ,15:34  ,  ,15:38  ,  ,  ,|      ,15:50  ,15:53  ,  ,  ,|      ,16:08  ,  ,  ,  ,|      ,16:23  ,16:34  ,  ,16:38  ,  ,  ,  ,|      ,16:50  ,16:53  ,  ,  ,  ,|      ,17:04  ,17:08  ,  ,  ,  ,|      ,17:20  ,17:23  ,  ,  ,|      ,17:34  ,17:38  ,  ,  ,  ,|      ,17:50  ,17:53  ,  ,  ,  ,|      ,18:04  ,18:08  ,  ,  ,  ,|      ,18:20  ,18:23  ,  ,  ,|      ,18:34  ,18:38  ,  ,  
124,TOWNSEND / 4TH AND KING $,  ,6:28  ,6:39  ,  ,6:43  ,  ,  ,6:46  ,6:54  ,6:58  ,  ,  ,  ,|      ,7:09  ,7:13  ,  ,  ,  ,7:16  ,7:24  ,7:28  ,  ,  ,|      ,7:39  ,7:43  ,  ,  ,  ,7:46  ,7:54  ,7:58  ,  ,  ,  ,|      ,8:09  ,8:13  ,  ,  ,  ,8:16  ,8:24  ,8:28  ,  ,  ,|      ,8:39  ,8:43  ,  ,  ,  ,8:46  ,8:54  ,8:58  ,  ,  ,  ,|      ,9:09  ,9:13  ,  ,  ,  ,9:16  ,9:24  ,9:28  ,  ,  ,|      ,9:39  ,9:43  ,  ,  ,  ,9:46  ,9:54  ,9:58  ,  ,  ,  ,|      ,10:09  ,10:13  ,  ,  ,  ,10:16  ,10:24  ,10:28  ,  ,  ,|      ,10:39  ,10:43  ,  ,  ,  ,10:46  ,10:54  ,10:58  ,  ,  ,  ,|      ,11:09  ,11:13  ,  ,  ,  ,11:16  ,11:24  ,11:28  ,  ,  ,|      ,11:39  ,11:43  ,  ,  ,11:46  ,11:54  ,11:58  ,  ,  ,|      ,12:13  ,  ,  ,  ,12:16  ,12:28  ,12:39  ,  ,12:43  ,  ,  ,12:46  ,12:54  ,12:58  ,  ,  ,|      ,13:13  ,  ,  ,  ,13:16  ,13:28  ,13:39  ,  ,13:43  ,  ,  ,13:46  ,13:54  ,13:58  ,  ,  ,|      ,14:13  ,  ,  ,  ,14:16  ,14:28  ,14:39  ,  ,14:43  ,  ,  ,14:46  ,14:54  ,14:58  ,  ,  ,|      ,15:13  ,  ,  ,  ,15:16  ,15:28  ,15:39  ,  ,15:43  ,  ,  ,15:46  ,15:54  ,15:58  ,  ,  ,|      ,16:13  ,  ,  ,  ,16:16  ,16:28  ,16:39  ,  ,16:43  ,  ,  ,  ,16:46  ,16:54  ,16:58  ,  ,  ,  ,|      ,17:09  ,17:13  ,  ,  ,  ,17:16  ,17:24  ,17:28  ,  ,  ,|      ,17:39  ,17:43  ,  ,  ,  ,17:46  ,17:54  ,17:58  ,  ,  ,  ,|      ,18:09  ,18:13  ,  ,  ,  ,18:16  ,18:24  ,18:28  ,  ,  ,|      ,18:39  ,18:43  ,  ,  
126,SALESFORCE TRANSIT CENTER (STC) $,  ,6:32  ,6:43  ,  ,6:47  ,  ,  ,6:50  ,6:58  ,7:02  ,  ,  ,  ,7:05  ,7:13  ,7:17  ,  ,  ,  ,7:20  ,7:28  ,7:32  ,  ,  ,7:35  ,7:43  ,7:47  ,  ,  ,  ,7:50  ,7:58  ,8:02  ,  ,  ,  ,8:05  ,8:13  ,8:17  ,  ,  ,  ,8:20  ,8:28  ,8:32  ,  ,  ,8:35  ,8:43  ,8:47  ,  ,  ,  ,8:50  ,8:58  ,9:02  ,  ,  ,  ,9:05  ,9:13  ,9:17  ,  ,  ,  ,9:20  ,9:28  ,9:32  ,  ,  ,9:35  ,9:43  ,9:47  ,  ,  ,  ,9:50  ,9:58  ,10:02  ,  ,  ,  ,10:05  ,10:13  ,10:17  ,  ,  ,  ,10:20  ,10:28  ,10:32  ,  ,  ,10:35  ,10:43  ,10:47  ,  ,  ,  ,10:50  ,10:58  ,11:02  ,  ,  ,  ,11:05  ,11:13  ,11:17  ,  ,  ,  ,11:20  ,11:28  ,11:32  ,  ,  ,11:35  ,11:43  ,11:47  ,  ,  ,11:50  ,11:58  ,12:02  ,  ,  ,12:05  ,12:17  ,  ,  ,  ,12:20  ,12:32  ,12:43  ,  ,12:47  ,  ,  ,12:50  ,12:58  ,13:02  ,  ,  ,13:05  ,13:17  ,  ,  ,  ,13:20  ,13:32  ,13:43  ,  ,13:47  ,  ,  ,13:50  ,13:58  ,14:02  ,  ,  ,14:05  ,14:17  ,  ,  ,  ,14:20  ,14:32  ,14:43  ,  ,14:47  ,  ,  ,14:50  ,14:58  ,15:02  ,  ,  ,15:05  ,15:17  ,  ,  ,  ,15:20  ,15:32  ,15:43  ,  ,15:47  ,  ,  ,15:50  ,15:58  ,16:02  ,  ,  ,16:05  ,16:17  ,  ,  ,  ,16:20  ,16:32  ,16:43  ,  ,16:47  ,  ,  ,  ,16:50  ,16:58  ,17:02  ,  ,  ,  ,17:05  ,17:13  ,17:17  ,  ,  ,  ,17:20  ,17:28  ,17:32  ,  ,  ,17:35  ,17:43  ,17:47  ,  ,  ,  ,17:50  ,17:58  ,18:02  ,  ,  ,  ,18:05  ,18:13  ,18:17  ,  ,  ,  ,18:20  ,18:28  ,18:32  ,  ,  ,18:35  ,18:43  ,18:47  ,  ,  