km,From:,HSR,HSR,HSR,HSR,REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR
,,,,,801,101,,301,1,703,805,301,705,101,401,201,807,401,707,1,303,3,809,303,201,403,103,811,403,711,3,305,5,813,305,713,103,405,203,815,405,715,5,307,7,817,307,203,407,105,819,407,719,7,309,9,821,309,721,105,409,205,823,409,723,9,311,11,825,311,205,411,107,827,411,727,11,313,13,829,313,729,107,413,207,831,413,731,13,315,15,833,315,207,415,109,835,415,735,15,317,17,837,317,,109,417,209,839,417,,17,319,19,841,319,209,419,111,843,419,,19,321,,845,321,,111,421,,,323,849,423,113,323,851,325,,423,,853,325,,113,425,,,327,857,427,115,327,859,329,,427,,861,329,,115,429,,,331,865,431,117,331,867,333,,431,,869,333,,117,433,,,335,873,435,119,335,875,337,,435,,877,337,,119,437,,,339,881,439,121,339,883,341,41,439,783,885,341,785,121,441,221,887,441,787,41,343,43,889,343,221,443,123,891,443,791,43,345,45,893,345,793,123,445,223,895,445,795,45,347,47,897,347,223,447,125,899,447,799
0,SALESFORCE TRANSIT CENTER (STC) $,  ,  ,  ,4:55  ,5:02  ,5:10  ,5:13  ,5:17  ,  ,5:25  ,  ,  ,  ,5:28  ,5:32  ,5:40  ,  ,  ,  ,5:43  ,5:47  ,5:55  ,  ,  ,5:58  ,6:02  ,6:10  ,  ,  ,  ,6:13  ,6:17  ,6:25  ,  ,  ,  ,6:28  ,6:32  ,6:40  ,  ,  ,  ,6:43  ,6:47  ,6:55  ,  ,  ,6:58  ,7:02  ,7:10  ,  ,  ,  ,7:13  ,7:17  ,7:25  ,  ,  ,  ,7:28  ,7:32  ,7:40  ,  ,  ,  ,7:43  ,7:47  ,7:55  ,  ,  ,7:58  ,8:02  ,8:10  ,  ,  ,  ,8:13  ,8:17  ,8:25  ,  ,  ,  ,8:28  ,8:32  ,8:40  ,  ,  ,  ,8:43  ,8:47  ,8:55  ,  ,  ,8:58  ,9:02  ,9:10  ,  ,  ,  ,9:13  ,9:17  ,9:25  ,  ,  ,  ,9:28  ,9:32  ,9:40  ,  ,  ,  ,9:43  ,9:47  ,9:55  ,  ,  ,9:58  ,10:02  ,10:10  ,  ,  ,  ,10:13  ,10:17  ,10:25  ,  ,  ,  ,10:28  ,  ,  ,10:43  ,10:55  ,10:58  ,11:02  ,  ,11:10  ,11:13  ,11:17  ,  ,  ,11:25  ,  ,  ,  ,11:28  ,  ,  ,11:43  ,11:55  ,11:58  ,12:02  ,  ,12:10  ,12:13  ,12:17  ,  ,  ,12:25  ,  ,  ,  ,12:28  ,  ,  ,12:43  ,12:55  ,12:58  ,13:02  ,  ,13:10  ,13:13  ,13:17  ,  ,  ,13:25  ,  ,  ,  ,13:28  ,  ,  ,13:43  ,13:55  ,13:58  ,14:02  ,  ,14:10  ,14:13  ,14:17  ,  ,  ,14:25  ,  ,  ,  ,14:28  ,  ,  ,14:43  ,14:55  ,14:58  ,15:02  ,  ,15:10  ,15:13  ,15:17  ,  ,  ,15:25  ,  ,  ,  ,15:28  ,15:32  ,15:40  ,  ,  ,  ,15:43  ,15:47  ,15:55  ,  ,  ,15:58  ,16:02  ,16:10  ,  ,  ,  ,16:13  ,16:17  ,16:25  ,  ,  ,  ,16:28  ,16:32  ,16:40  ,  ,  ,  ,16:43  ,16:47  ,16:55  ,  ,  ,16:58  ,17:02  ,17:10  ,  ,  
2,TOWNSEND / 4TH AND KING $,  ,  ,  ,5:01  ,5:07  ,|      ,5:18  ,5:21  ,  ,5:31  ,  ,  ,  ,5:33  ,5:37  ,|      ,  ,  ,  ,5:48  ,5:51  ,6:01  ,  ,  ,6:03  ,6:07  ,|      ,  ,  ,  ,6:18  ,6:21  ,6:31  ,  ,  ,  ,6:33  ,6:37  ,|      ,  ,  ,  ,6:48  ,6:51  ,7:01  ,  ,  ,7:03  ,7:07  ,|      ,  ,  ,  ,7:18  ,7:21  ,7:31  ,  ,  ,  ,7:33  ,7:37  ,|      ,  ,  ,  ,7:48  ,7:51  ,8:01  ,  ,  ,8:03  ,8:07  ,|      ,  ,  ,  ,8:18  ,8:21  ,8:31  ,  ,  ,  ,8:33  ,8:37  ,|      ,  ,  ,  ,8:48  ,8:51  ,9:01  ,  ,  ,9:03  ,9:07  ,|      ,  ,  ,  ,9:18  ,9:21  ,9:31  ,  ,  ,  ,9:33  ,9:37  ,|      ,  ,  ,  ,9:48  ,9:51  ,10:01  ,  ,  ,10:03  ,10:07  ,|      ,  ,  ,  ,10:18  ,10:21  ,10:31  ,  ,  ,  ,10:33  ,  ,  ,10:48  ,11:01  ,11:03  ,11:07  ,  ,|      ,11:18  ,11:21  ,  ,  ,11:31  ,  ,  ,  ,11:33  ,  ,  ,11:48  ,12:01  ,12:03  ,12:07  ,  ,|      ,12:18  ,12:21  ,  ,  ,12:31  ,  ,  ,  ,12:33  ,  ,  ,12:48  ,13:01  ,13:03  ,13:07  ,  ,|      ,13:18  ,13:21  ,  ,  ,13:31  ,  ,  ,  ,13:33  ,  ,  ,13:48  ,14:01  ,14:03  ,14:07  ,  ,|      ,14:18  ,14:21  ,  ,  ,14:31  ,  ,  ,  ,14:33  ,  ,  ,14:48  ,15:01  ,15:03  ,15:07  ,  ,|      ,15:18  ,15:21  ,  ,  ,15:31  ,  ,  ,  ,15:33  ,15:37  ,|      ,  ,  ,  ,15:48  ,15:51  ,16:01  ,  ,  ,16:03  ,16:07  ,|      ,  ,  ,  ,16:18  ,16:21  ,16:31  ,  ,  ,  ,16:33  ,16:37  ,|      ,  ,  ,  ,16:48  ,16:51  ,17:01  ,  ,  ,17:03  ,17:07  ,|      ,  ,  
3,CP Common,  ,  ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,  
5,22nd STREET,  ,  ,  ,|      ,5:11  ,|      ,5:23  ,5:26  ,  ,|      ,  ,  ,  ,5:38  ,5:41  ,|      ,  ,  ,  ,5:53  ,5:56  ,|      ,  ,  ,6:08  ,6:11  ,|      ,  ,  ,  ,6:23  ,6:26  ,|      ,  ,  ,  ,6:38  ,6:41  ,|      ,  ,  ,  ,6:53  ,6:56  ,|      ,  ,  ,7:08  ,7:11  ,|      ,  ,  ,  ,7:23  ,7:26  ,|      ,  ,  ,  ,7:38  ,7:41  ,|      ,  ,  ,  ,7:53  ,7:56  ,|      ,  ,  ,8:08  ,8:11  ,|      ,  ,  ,  ,8:23  ,8:26  ,|      ,  ,  ,  ,8:38  ,8:41  ,|      ,  ,  ,  ,8:53  ,8:56  ,|      ,  ,  ,9:08  ,9:11  ,|      ,  ,  ,  ,9:23  ,9:26  ,|      ,  ,  ,  ,9:38  ,9:41  ,|      ,  ,  ,  ,9:53  ,9:56  ,|      ,  ,  ,10:08  ,10:11  ,|      ,  ,  ,  ,10:23  ,10:26  ,|      ,  ,  ,  ,10:38  ,  ,  ,10:53  ,|      ,11:08  ,11:11  ,  ,|      ,11:23  ,11:26  ,  ,  ,|      ,  ,  ,  ,11:38  ,  ,  ,11:53  ,|      ,12:08  ,12:11  ,  ,|      ,12:23  ,12:26  ,  ,  ,|      ,  ,  ,  ,12:38  ,  ,  ,12:53  ,|      ,13:08  ,13:11  ,  ,|      ,13:23  ,13:26  ,  ,  ,|      ,  ,  ,  ,13:38  ,  ,  ,13:53  ,|      ,14:08  ,14:11  ,  ,|      ,14:23  ,14:26  ,  ,  ,|      ,  ,  ,  ,14:38  ,  ,  ,14:53  ,|      ,15:08  ,15:11  ,  ,|      ,15:23  ,15:26  ,  ,  ,|      ,  ,  ,  ,15:38  ,15:41  ,|      ,  ,  ,  ,15:53  ,15:56  ,|      ,  ,  ,16:08  ,16:11  ,|      ,  ,  ,  ,16:23  ,16:26  ,|      ,  ,  ,  ,16:38  ,16:41  ,|      ,  ,  ,  ,16:53  ,16:56  ,|      ,  ,  ,17:08  ,17:11  ,|      ,  ,  
11,BAYSHORE,  ,  ,  ,|      ,5:15  ,|      ,|      ,5:30  ,  ,|      ,  ,  ,  ,|      ,5:45  ,|      ,  ,  ,  ,|      ,6:00  ,|      ,  ,  ,|      ,6:15  ,|      ,  ,  ,  ,|      ,6:30  ,|      ,  ,  ,  ,|      ,6:45  ,|      ,  ,  ,  ,|      ,7:00  ,|      ,  ,  ,|      ,7:15  ,|      ,  ,  ,  ,|      ,7:30  ,|      ,  ,  ,  ,|      ,7:45  ,|      ,  ,  ,  ,|      ,8:00  ,|      ,  ,  ,|      ,8:15  ,|      ,  ,  ,  ,|      ,8:30  ,|      ,  ,  ,  ,|      ,8:45  ,|      ,  ,  ,  ,|      ,9:00  ,|      ,  ,  ,|      ,9:15  ,|      ,  ,  ,  ,|      ,9:30  ,|      ,  ,  ,  ,|      ,9:45  ,|      ,  ,  ,  ,|      ,10:00  ,|      ,  ,  ,|      ,10:15  ,|      ,  ,  ,  ,|      ,10:30  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,11:15  ,  ,|      ,|      ,11:30  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,12:15  ,  ,|      ,|      ,12:30  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,13:15  ,  ,|      ,|      ,13:30  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,14:15  ,  ,|      ,|      ,14:30  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,15:15  ,  ,|      ,|      ,15:30  ,  ,  ,|      ,  ,  ,  ,|      ,15:45  ,|      ,  ,  ,  ,|      ,16:00  ,|      ,  ,  ,|      ,16:15  ,|      ,  ,  ,  ,|      ,16:30  ,|      ,  ,  ,  ,|      ,16:45  ,|      ,  ,  ,  ,|      ,17:00  ,|      ,  ,  ,|      ,17:15  ,|      ,  ,  
17,SOUTH SAN FRANCISCO ,  ,  ,  ,|      ,5:20  ,|      ,5:31  ,5:35  ,  ,|      ,  ,  ,  ,5:46  ,5:49  ,|      ,  ,  ,  ,6:01  ,6:05  ,|      ,  ,  ,6:16  ,6:20  ,|      ,  ,  ,  ,6:31  ,6:35  ,|      ,  ,  ,  ,6:46  ,6:49  ,|      ,  ,  ,  ,7:01  ,7:05  ,|      ,  ,  ,7:16  ,7:20  ,|      ,  ,  ,  ,7:31  ,7:35  ,|      ,  ,  ,  ,7:46  ,7:49  ,|      ,  ,  ,  ,8:01  ,8:05  ,|      ,  ,  ,8:16  ,8:20  ,|      ,  ,  ,  ,8:31  ,8:35  ,|      ,  ,  ,  ,8:46  ,8:49  ,|      ,  ,  ,  ,9:01  ,9:05  ,|      ,  ,  ,9:16  ,9:20  ,|      ,  ,  ,  ,9:31  ,9:35  ,|      ,  ,  ,  ,9:46  ,9:49  ,|      ,  ,  ,  ,10:01  ,10:05  ,|      ,  ,  ,10:16  ,10:20  ,|      ,  ,  ,  ,10:31  ,10:35  ,|      ,  ,  ,  ,10:46  ,  ,  ,11:01  ,|      ,11:16  ,11:20  ,  ,|      ,11:31  ,11:35  ,  ,  ,|      ,  ,  ,  ,11:46  ,  ,  ,12:01  ,|      ,12:16  ,12:20  ,  ,|      ,12:31  ,12:35  ,  ,  ,|      ,  ,  ,  ,12:46  ,  ,  ,13:01  ,|      ,13:16  ,13:20  ,  ,|      ,13:31  ,13:35  ,  ,  ,|      ,  ,  ,  ,13:46  ,  ,  ,14:01  ,|      ,14:16  ,14:20  ,  ,|      ,14:31  ,14:35  ,  ,  ,|      ,  ,  ,  ,14:46  ,  ,  ,15:01  ,|      ,15:16  ,15:20  ,  ,|      ,15:31  ,15:35  ,  ,  ,|      ,  ,  ,  ,15:46  ,15:49  ,|      ,  ,  ,  ,16:01  ,16:05  ,|      ,  ,  ,16:16  ,16:20  ,|      ,  ,  ,  ,16:31  ,16:35  ,|      ,  ,  ,  ,16:46  ,16:49  ,|      ,  ,  ,  ,17:01  ,17:05  ,|      ,  ,  ,17:16  ,17:20  ,|      ,  ,  
20,SAN BRUNO,  ,  ,  ,|      ,5:23  ,|      ,|      ,5:38  ,  ,|      ,  ,  ,  ,|      ,5:53  ,|      ,  ,  ,  ,|      ,6:08  ,|      ,  ,  ,|      ,6:23  ,|      ,  ,  ,  ,|      ,6:38  ,|      ,  ,  ,  ,|      ,6:53  ,|      ,  ,  ,  ,|      ,7:08  ,|      ,  ,  ,|      ,7:23  ,|      ,  ,  ,  ,|      ,7:38  ,|      ,  ,  ,  ,|      ,7:53  ,|      ,  ,  ,  ,|      ,8:08  ,|      ,  ,  ,|      ,8:23  ,|      ,  ,  ,  ,|      ,8:38  ,|      ,  ,  ,  ,|      ,8:53  ,|      ,  ,  ,  ,|      ,9:08  ,|      ,  ,  ,|      ,9:23  ,|      ,  ,  ,  ,|      ,9:38  ,|      ,  ,  ,  ,|      ,9:53  ,|      ,  ,  ,  ,|      ,10:08  ,|      ,  ,  ,|      ,10:23  ,|      ,  ,  ,  ,|      ,10:38  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,11:23  ,  ,|      ,|      ,11:38  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,12:23  ,  ,|      ,|      ,12:38  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,13:23  ,  ,|      ,|      ,13:38  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,14:23  ,  ,|      ,|      ,14:38  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,15:23  ,  ,|      ,|      ,15:38  ,  ,  ,|      ,  ,  ,  ,|      ,15:53  ,|      ,  ,  ,  ,|      ,16:08  ,|      ,  ,  ,|      ,16:23  ,|      ,  ,  ,  ,|      ,16:38  ,|      ,  ,  ,  ,|      ,16:53  ,|      ,  ,  ,  ,|      ,17:08  ,|      ,  ,  ,|      ,17:23  ,|      ,  ,  
24,MILLBRAE,  ,  ,  ,5:16  ,5:27  ,5:31  ,5:36  ,|      ,  ,5:46  ,  ,  ,  ,5:51  ,5:56  ,6:01  ,  ,  ,  ,6:06  ,|      ,6:16  ,  ,  ,6:21  ,6:27  ,6:31  ,  ,  ,  ,6:36  ,|      ,6:46  ,  ,  ,  ,6:51  ,6:56  ,7:01  ,  ,  ,  ,7:06  ,|      ,7:16  ,  ,  ,7:21  ,7:27  ,7:31  ,  ,  ,  ,7:36  ,|      ,7:46  ,  ,  ,  ,7:51  ,7:56  ,8:01  ,  ,  ,  ,8:06  ,|      ,8:16  ,  ,  ,8:21  ,8:27  ,8:31  ,  ,  ,  ,8:36  ,|      ,8:46  ,  ,  ,  ,8:51  ,8:56  ,9:01  ,  ,  ,  ,9:06  ,|      ,9:16  ,  ,  ,9:21  ,9:27  ,9:31  ,  ,  ,  ,9:36  ,|      ,9:46  ,  ,  ,  ,9:51  ,9:56  ,10:01  ,  ,  ,  ,10:06  ,|      ,10:16  ,  ,  ,10:21  ,10:27  ,10:31  ,  ,  ,  ,10:36  ,|      ,10:46  ,  ,  ,  ,10:51  ,  ,  ,11:06  ,11:16  ,11:21  ,11:27  ,  ,11:31  ,11:36  ,|      ,  ,  ,11:46  ,  ,  ,  ,11:51  ,  ,  ,12:06  ,12:16  ,12:21  ,12:27  ,  ,12:31  ,12:36  ,|      ,  ,  ,12:46  ,  ,  ,  ,12:51  ,  ,  ,13:06  ,13:16  ,13:21  ,13:27  ,  ,13:31  ,13:36  ,|      ,  ,  ,13:46  ,  ,  ,  ,13:51  ,  ,  ,14:06  ,14:16  ,14:21  ,14:27  ,  ,14:31  ,14:36  ,|      ,  ,  ,14:46  ,  ,  ,  ,14:51  ,  ,  ,15:06  ,15:16  ,15:21  ,15:27  ,  ,15:31  ,15:36  ,|      ,  ,  ,15:46  ,  ,  ,  ,15:51  ,15:56  ,16:01  ,  ,  ,  ,16:06  ,|      ,16:16  ,  ,  ,16:21  ,16:27  ,16:31  ,  ,  ,  ,16:36  ,|      ,16:46  ,  ,  ,  ,16:51  ,16:56  ,17:01  ,  ,  ,  ,17:06  ,|      ,17:16  ,  ,  ,17:21  ,17:27  ,17:31  ,  ,  
27,BROADWAY,  ,  ,  ,|      ,|      ,|      ,|      ,5:43  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,6:13  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,6:43  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,7:13  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,7:43  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,8:13  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,8:43  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,9:13  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,9:43  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,10:13  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,10:43  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,|      ,|      ,11:43  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,|      ,|      ,12:43  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,|      ,|      ,13:43  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,|      ,|      ,14:43  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,|      ,|      ,15:43  ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,16:13  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,16:43  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,17:13  ,|      ,  ,  ,|      ,|      ,|      ,  ,  
29,BURLINGAME,  ,  ,  ,|      ,5:30  ,|      ,|      ,|      ,  ,|      ,  ,  ,  ,|      ,6:00  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,6:30  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,7:00  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,7:30  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,8:00  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,8:30  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,9:00  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,9:30  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,10:00  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,10:30  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,11:30  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,12:30  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,13:30  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,14:30  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,15:30  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,16:00  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,16:30  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,17:00  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,17:30  ,|      ,  ,  
