km,From:,HSR,HSR,HSR,HSR,REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR
31,SAN MATEO,  ,  ,  ,|      ,|      ,|      ,|      ,5:46  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,6:16  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,6:46  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,7:16  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,7:46  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,8:16  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,8:46  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,9:16  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,9:46  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,10:16  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,10:46  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,|      ,|      ,11:46  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,|      ,|      ,12:46  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,|      ,|      ,13:46  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,|      ,|      ,14:46  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,|      ,|      ,15:46  ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,16:16  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,16:46  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,17:16  ,|      ,  ,  ,|      ,|      ,|      ,  ,  
33,HAYWARD PARK,  ,  ,  ,|      ,5:34  ,|      ,|      ,5:49  ,  ,|      ,  ,  ,  ,|      ,6:04  ,|      ,  ,  ,  ,|      ,6:19  ,|      ,  ,  ,|      ,6:34  ,|      ,  ,  ,  ,|      ,6:49  ,|      ,  ,  ,  ,|      ,7:04  ,|      ,  ,  ,  ,|      ,7:19  ,|      ,  ,  ,|      ,7:34  ,|      ,  ,  ,  ,|      ,7:49  ,|      ,  ,  ,  ,|      ,8:04  ,|      ,  ,  ,  ,|      ,8:19  ,|      ,  ,  ,|      ,8:34  ,|      ,  ,  ,  ,|      ,8:49  ,|      ,  ,  ,  ,|      ,9:04  ,|      ,  ,  ,  ,|      ,9:19  ,|      ,  ,  ,|      ,9:34  ,|      ,  ,  ,  ,|      ,9:49  ,|      ,  ,  ,  ,|      ,10:04  ,|      ,  ,  ,  ,|      ,10:19  ,|      ,  ,  ,|      ,10:34  ,|      ,  ,  ,  ,|      ,10:49  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,11:34  ,  ,|      ,|      ,11:49  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,12:34  ,  ,|      ,|      ,12:49  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,13:34  ,  ,|      ,|      ,13:49  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,14:34  ,  ,|      ,|      ,14:49  ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,15:34  ,  ,|      ,|      ,15:49  ,  ,  ,|      ,  ,  ,  ,|      ,16:04  ,|      ,  ,  ,  ,|      ,16:19  ,|      ,  ,  ,|      ,16:34  ,|      ,  ,  ,  ,|      ,16:49  ,|      ,  ,  ,  ,|      ,17:04  ,|      ,  ,  ,  ,|      ,17:19  ,|      ,  ,  ,|      ,17:34  ,|      ,  ,  
35,HILLSDALE,  ,  ,  ,|      ,5:38  ,|      ,5:43  ,5:53  ,  ,|      ,  ,  ,  ,5:58  ,6:08  ,|      ,  ,  ,  ,6:13  ,6:23  ,|      ,  ,  ,6:28  ,6:38  ,|      ,  ,  ,  ,6:43  ,6:53  ,|      ,  ,  ,  ,6:58  ,7:08  ,|      ,  ,  ,  ,7:13  ,7:23  ,|      ,  ,  ,7:28  ,7:38  ,|      ,  ,  ,  ,7:43  ,7:53  ,|      ,  ,  ,  ,7:58  ,8:08  ,|      ,  ,  ,  ,8:13  ,8:23  ,|      ,  ,  ,8:28  ,8:38  ,|      ,  ,  ,  ,8:43  ,8:53  ,|      ,  ,  ,  ,8:58  ,9:08  ,|      ,  ,  ,  ,9:13  ,9:23  ,|      ,  ,  ,9:28  ,9:38  ,|      ,  ,  ,  ,9:43  ,9:53  ,|      ,  ,  ,  ,9:58  ,10:08  ,|      ,  ,  ,  ,10:13  ,10:23  ,|      ,  ,  ,10:28  ,10:38  ,|      ,  ,  ,  ,10:43  ,10:53  ,|      ,  ,  ,  ,10:58  ,  ,  ,11:13  ,|      ,11:28  ,11:38  ,  ,|      ,11:43  ,11:53  ,  ,  ,|      ,  ,  ,  ,11:58  ,  ,  ,12:13  ,|      ,12:28  ,12:38  ,  ,|      ,12:43  ,12:53  ,  ,  ,|      ,  ,  ,  ,12:58  ,  ,  ,13:13  ,|      ,13:28  ,13:38  ,  ,|      ,13:43  ,13:53  ,  ,  ,|      ,  ,  ,  ,13:58  ,  ,  ,14:13  ,|      ,14:28  ,14:38  ,  ,|      ,14:43  ,14:53  ,  ,  ,|      ,  ,  ,  ,14:58  ,  ,  ,15:13  ,|      ,15:28  ,15:38  ,  ,|      ,15:43  ,15:53  ,  ,  ,|      ,  ,  ,  ,15:58  ,16:08  ,|      ,  ,  ,  ,16:13  ,16:23  ,|      ,  ,  ,16:28  ,16:38  ,|      ,  ,  ,  ,16:43  ,16:53  ,|      ,  ,  ,  ,16:58  ,17:08  ,|      ,  ,  ,  ,17:13  ,17:23  ,|      ,  ,  ,17:28  ,17:38  ,|      ,  ,  
38,BELMONT,  ,  ,  ,|      ,5:41  ,|      ,|      ,|      ,  ,|      ,  ,  ,  ,|      ,6:11  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,6:41  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,7:11  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,7:41  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,8:11  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,8:41  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,9:11  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,9:41  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,10:11  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,10:41  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,11:41  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,12:41  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,13:41  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,14:41  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,15:41  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,  ,|      ,16:11  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,16:41  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,17:11  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,17:41  ,|      ,  ,  
40,SAN CARLOS,  ,  ,  ,|      ,|      ,|      ,|      ,5:57  ,  ,|      ,  ,  ,↴      ,|      ,|      ,|      ,  ,  ,↴      ,|      ,6:27  ,|      ,  ,↴      ,|      ,|      ,|      ,  ,  ,↴      ,|      ,6:57  ,|      ,  ,  ,↴      ,|      ,|      ,|      ,  ,  ,↴      ,|      ,7:27  ,|      ,  ,↴      ,|      ,|      ,|      ,  ,  ,↴      ,|      ,7:57  ,|      ,  ,  ,↴      ,|      ,|      ,|      ,  ,  ,↴      ,|      ,8:27  ,|      ,  ,↴      ,|      ,|      ,|      ,  ,  ,↴      ,|      ,8:57  ,|      ,  ,  ,↴      ,|      ,|      ,|      ,  ,  ,↴      ,|      ,9:27  ,|      ,  ,↴      ,|      ,|      ,|      ,  ,  ,↴      ,|      ,9:57  ,|      ,  ,  ,↴      ,|      ,|      ,|      ,  ,  ,↴      ,|      ,10:27  ,|      ,  ,↴      ,|      ,|      ,|      ,  ,  ,↴      ,|      ,10:57  ,|      ,  ,  ,↴      ,|      ,  ,↴      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,11:57  ,  ,  ,|      ,  ,  ,↴      ,|      ,  ,↴      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,12:57  ,  ,  ,|      ,  ,  ,↴      ,|      ,  ,↴      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,13:57  ,  ,  ,|      ,  ,  ,↴      ,|      ,  ,↴      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,14:57  ,  ,  ,|      ,  ,  ,↴      ,|      ,  ,↴      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,15:57  ,  ,  ,|      ,  ,  ,↴      ,|      ,|      ,|      ,  ,  ,↴      ,|      ,16:27  ,|      ,  ,↴      ,|      ,|      ,|      ,  ,  ,↴      ,|      ,16:57  ,|      ,  ,  ,↴      ,|      ,|      ,|      ,  ,  ,↴      ,|      ,17:27  ,|      ,  ,↴      ,|      ,|      ,|      ,  ,  
43,REDWOOD CITY,  ,  ,  ,|      ,↳     ,|      ,5:48  ,↳     ,  ,|      ,  ,  ,5:50  ,6:03  ,↳     ,|      ,  ,  ,6:05  ,6:18  ,↳     ,|      ,  ,6:20  ,6:33  ,↳     ,|      ,  ,  ,6:35  ,6:48  ,↳     ,|      ,  ,  ,6:50  ,7:03  ,↳     ,|      ,  ,  ,7:05  ,7:18  ,↳     ,|      ,  ,7:20  ,7:33  ,↳     ,|      ,  ,  ,7:35  ,7:48  ,↳     ,|      ,  ,  ,7:50  ,8:03  ,↳     ,|      ,  ,  ,8:05  ,8:18  ,↳     ,|      ,  ,8:20  ,8:33  ,↳     ,|      ,  ,  ,8:35  ,8:48  ,↳     ,|      ,  ,  ,8:50  ,9:03  ,↳     ,|      ,  ,  ,9:05  ,9:18  ,↳     ,|      ,  ,9:20  ,9:33  ,↳     ,|      ,  ,  ,9:35  ,9:48  ,↳     ,|      ,  ,  ,9:50  ,10:03  ,↳     ,|      ,  ,  ,10:05  ,10:18  ,↳     ,|      ,  ,10:20  ,10:33  ,↳     ,|      ,  ,  ,10:35  ,10:48  ,↳     ,|      ,  ,  ,10:50  ,11:03  ,  ,11:05  ,11:18  ,|      ,11:33  ,↳     ,  ,|      ,11:48  ,↳     ,  ,  ,|      ,  ,  ,11:50  ,12:03  ,  ,12:05  ,12:18  ,|      ,12:33  ,↳     ,  ,|      ,12:48  ,↳     ,  ,  ,|      ,  ,  ,12:50  ,13:03  ,  ,13:05  ,13:18  ,|      ,13:33  ,↳     ,  ,|      ,13:48  ,↳     ,  ,  ,|      ,  ,  ,13:50  ,14:03  ,  ,14:05  ,14:18  ,|      ,14:33  ,↳     ,  ,|      ,14:48  ,↳     ,  ,  ,|      ,  ,  ,14:50  ,15:03  ,  ,15:05  ,15:18  ,|      ,15:33  ,↳     ,  ,|      ,15:48  ,↳     ,  ,  ,|      ,  ,  ,15:50  ,16:03  ,↳     ,|      ,  ,  ,16:05  ,16:18  ,↳     ,|      ,  ,16:20  ,16:33  ,↳     ,|      ,  ,  ,16:35  ,16:48  ,↳     ,|      ,  ,  ,16:50  ,17:03  ,↳     ,|      ,  ,  ,17:05  ,17:18  ,↳     ,|      ,  ,17:20  ,17:33  ,↳     ,|      ,  ,  
47,ATHERTON,  ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,  ,5:53  ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,6:53  ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,7:53  ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,8:53  ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,9:53  ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,10:53  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,11:53  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,12:53  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,13:53  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,14:53  ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,15:53  ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,16:53  ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  
49,MENLO PARK,  ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,6:09  ,|      ,  ,|      ,  ,6:24  ,|      ,  ,|      ,  ,  ,6:39  ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,7:09  ,|      ,  ,|      ,  ,7:24  ,|      ,  ,|      ,  ,  ,7:39  ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,8:09  ,|      ,  ,|      ,  ,8:24  ,|      ,  ,|      ,  ,  ,8:39  ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,9:09  ,|      ,  ,|      ,  ,9:24  ,|      ,  ,|      ,  ,  ,9:39  ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,10:09  ,|      ,  ,|      ,  ,10:24  ,|      ,  ,|      ,  ,  ,10:39  ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,11:09  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,12:09  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,13:09  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,14:09  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,15:09  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,16:09  ,|      ,  ,|      ,  ,16:24  ,|      ,  ,|      ,  ,  ,16:39  ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,17:09  ,|      ,  ,|      ,  ,17:24  ,|      ,  ,|      ,  ,  
51,PALO ALTO,  ,  ,  ,|      ,  ,|      ,5:53  ,  ,  ,|      ,  ,  ,5:57  ,6:08  ,  ,|      ,  ,  ,6:12  ,6:23  ,  ,|      ,  ,6:27  ,6:38  ,  ,|      ,  ,  ,6:42  ,6:53  ,  ,|      ,  ,  ,6:57  ,7:08  ,  ,|      ,  ,  ,7:12  ,7:23  ,  ,|      ,  ,7:27  ,7:38  ,  ,|      ,  ,  ,7:42  ,7:53  ,  ,|      ,  ,  ,7:57  ,8:08  ,  ,|      ,  ,  ,8:12  ,8:23  ,  ,|      ,  ,8:27  ,8:38  ,  ,|      ,  ,  ,8:42  ,8:53  ,  ,|      ,  ,  ,8:57  ,9:08  ,  ,|      ,  ,  ,9:12  ,9:23  ,  ,|      ,  ,9:27  ,9:38  ,  ,|      ,  ,  ,9:42  ,9:53  ,  ,|      ,  ,  ,9:57  ,10:08  ,  ,|      ,  ,  ,10:12  ,10:23  ,  ,|      ,  ,10:27  ,10:38  ,  ,|      ,  ,  ,10:42  ,10:53  ,  ,|      ,  ,  ,10:57  ,11:08  ,  ,11:12  ,11:23  ,|      ,11:38  ,  ,  ,|      ,11:53  ,  ,  ,  ,|      ,  ,  ,11:57  ,12:08  ,  ,12:12  ,12:23  ,|      ,12:38  ,  ,  ,|      ,12:53  ,  ,  ,  ,|      ,  ,  ,12:57  ,13:08  ,  ,13:12  ,13:23  ,|      ,13:38  ,  ,  ,|      ,13:53  ,  ,  ,  ,|      ,  ,  ,13:57  ,14:08  ,  ,14:12  ,14:23  ,|      ,14:38  ,  ,  ,|      ,14:53  ,  ,  ,  ,|      ,  ,  ,14:57  ,15:08  ,  ,15:12  ,15:23  ,|      ,15:38  ,  ,  ,|      ,15:53  ,  ,  ,  ,|      ,  ,  ,15:57  ,16:08  ,  ,|      ,  ,  ,16:12  ,16:23  ,  ,|      ,  ,16:27  ,16:38  ,  ,|      ,  ,  ,16:42  ,16:53  ,  ,|      ,  ,  ,16:57  ,17:08  ,  ,|      ,  ,  ,17:12  ,17:23  ,  ,|      ,  ,17:27  ,17:38  ,  ,|      ,  ,  
52,STANDFORD STADIUM,  ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  
53,CALIFORNIA AVENUE,  ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,  ,6:03  ,|      ,  ,|      ,  ,  ,6:18  ,|      ,  ,|      ,  ,6:33  ,|      ,  ,|      ,  ,  ,6:48  ,|      ,  ,|      ,  ,  ,7:03  ,|      ,  ,|      ,  ,  ,7:18  ,|      ,  ,|      ,  ,7:33  ,|      ,  ,|      ,  ,  ,7:48  ,|      ,  ,|      ,  ,  ,8:03  ,|      ,  ,|      ,  ,  ,8:18  ,|      ,  ,|      ,  ,8:33  ,|      ,  ,|      ,  ,  ,8:48  ,|      ,  ,|      ,  ,  ,9:03  ,|      ,  ,|      ,  ,  ,9:18  ,|      ,  ,|      ,  ,9:33  ,|      ,  ,|      ,  ,  ,9:48  ,|      ,  ,|      ,  ,  ,10:03  ,|      ,  ,|      ,  ,  ,10:18  ,|      ,  ,|      ,  ,10:33  ,|      ,  ,|      ,  ,  ,10:48  ,|      ,  ,|      ,  ,  ,11:03  ,|      ,  ,11:18  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,12:03  ,|      ,  ,12:18  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,13:03  ,|      ,  ,13:18  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,14:03  ,|      ,  ,14:18  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,15:03  ,|      ,  ,15:18  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,16:03  ,|      ,  ,|      ,  ,  ,16:18  ,|      ,  ,|      ,  ,16:33  ,|      ,  ,|      ,  ,  ,16:48  ,|      ,  ,|      ,  ,  ,17:03  ,|      ,  ,|      ,  ,  ,17:18  ,|      ,  ,|      ,  ,17:33  ,|      ,  ,|      ,  ,  
57,SAN ANTONIO,  ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,  ,6:07  ,|      ,  ,|      ,  ,  ,6:22  ,|      ,  ,|      ,  ,6:37  ,|      ,  ,|      ,  ,  ,6:52  ,|      ,  ,|      ,  ,  ,7:07  ,|      ,  ,|      ,  ,  ,7:22  ,|      ,  ,|      ,  ,7:37  ,|      ,  ,|      ,  ,  ,7:52  ,|      ,  ,|      ,  ,  ,8:07  ,|      ,  ,|      ,  ,  ,8:22  ,|      ,  ,|      ,  ,8:37  ,|      ,  ,|      ,  ,  ,8:52  ,|      ,  ,|      ,  ,  ,9:07  ,|      ,  ,|      ,  ,  ,9:22  ,|      ,  ,|      ,  ,9:37  ,|      ,  ,|      ,  ,  ,9:52  ,|      ,  ,|      ,  ,  ,10:07  ,|      ,  ,|      ,  ,  ,10:22  ,|      ,  ,|      ,  ,10:37  ,|      ,  ,|      ,  ,  ,10:52  ,|      ,  ,|      ,  ,  ,11:07  ,|      ,  ,11:22  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,12:07  ,|      ,  ,12:22  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,13:07  ,|      ,  ,13:22  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,14:07  ,|      ,  ,14:22  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,15:07  ,|      ,  ,15:22  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,16:07  ,|      ,  ,|      ,  ,  ,16:22  ,|      ,  ,|      ,  ,16:37  ,|      ,  ,|      ,  ,  ,16:52  ,|      ,  ,|      ,  ,  ,17:07  ,|      ,  ,|      ,  ,  ,17:22  ,|      ,  ,|      ,  ,17:37  ,|      ,  ,|      ,  ,  
