km,From:,HSR,HSR,HSR,HSR,REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR
60,MOUNTAIN VIEW,  ,  ,  ,|      ,  ,|      ,5:59  ,  ,  ,|      ,  ,  ,6:11  ,6:14  ,  ,|      ,  ,  ,6:26  ,6:29  ,  ,|      ,  ,6:40  ,6:44  ,  ,|      ,  ,  ,6:56  ,6:59  ,  ,|      ,  ,  ,7:11  ,7:14  ,  ,|      ,  ,  ,7:26  ,7:29  ,  ,|      ,  ,7:40  ,7:44  ,  ,|      ,  ,  ,7:56  ,7:59  ,  ,|      ,  ,  ,8:11  ,8:14  ,  ,|      ,  ,  ,8:26  ,8:29  ,  ,|      ,  ,8:40  ,8:44  ,  ,|      ,  ,  ,8:56  ,8:59  ,  ,|      ,  ,  ,9:11  ,9:14  ,  ,|      ,  ,  ,9:26  ,9:29  ,  ,|      ,  ,9:40  ,9:44  ,  ,|      ,  ,  ,9:56  ,9:59  ,  ,|      ,  ,  ,10:11  ,10:14  ,  ,|      ,  ,  ,10:26  ,10:29  ,  ,|      ,  ,10:40  ,10:44  ,  ,|      ,  ,  ,10:56  ,10:59  ,  ,|      ,  ,  ,11:11  ,11:14  ,  ,11:26  ,11:29  ,|      ,11:44  ,  ,  ,|      ,11:59  ,  ,  ,  ,|      ,  ,  ,12:11  ,12:14  ,  ,12:26  ,12:29  ,|      ,12:44  ,  ,  ,|      ,12:59  ,  ,  ,  ,|      ,  ,  ,13:11  ,13:14  ,  ,13:26  ,13:29  ,|      ,13:44  ,  ,  ,|      ,13:59  ,  ,  ,  ,|      ,  ,  ,14:11  ,14:14  ,  ,14:26  ,14:29  ,|      ,14:44  ,  ,  ,|      ,14:59  ,  ,  ,  ,|      ,  ,  ,15:11  ,15:14  ,  ,15:26  ,15:29  ,|      ,15:44  ,  ,  ,|      ,15:59  ,  ,  ,  ,|      ,  ,  ,16:11  ,16:14  ,  ,|      ,  ,  ,16:26  ,16:29  ,  ,|      ,  ,16:40  ,16:44  ,  ,|      ,  ,  ,16:56  ,16:59  ,  ,|      ,  ,  ,17:11  ,17:14  ,  ,|      ,  ,  ,17:26  ,17:29  ,  ,|      ,  ,17:40  ,17:44  ,  ,|      ,  ,  
65,SUNNYVALE,  ,  ,  ,|      ,  ,|      ,6:04  ,  ,  ,|      ,  ,  ,6:14  ,6:19  ,  ,|      ,  ,  ,6:29  ,6:34  ,  ,|      ,  ,6:44  ,6:49  ,  ,|      ,  ,  ,6:59  ,7:04  ,  ,|      ,  ,  ,7:14  ,7:19  ,  ,|      ,  ,  ,7:29  ,7:34  ,  ,|      ,  ,7:44  ,7:49  ,  ,|      ,  ,  ,7:59  ,8:04  ,  ,|      ,  ,  ,8:14  ,8:19  ,  ,|      ,  ,  ,8:29  ,8:34  ,  ,|      ,  ,8:44  ,8:49  ,  ,|      ,  ,  ,8:59  ,9:04  ,  ,|      ,  ,  ,9:14  ,9:19  ,  ,|      ,  ,  ,9:29  ,9:34  ,  ,|      ,  ,9:44  ,9:49  ,  ,|      ,  ,  ,9:59  ,10:04  ,  ,|      ,  ,  ,10:14  ,10:19  ,  ,|      ,  ,  ,10:29  ,10:34  ,  ,|      ,  ,10:44  ,10:49  ,  ,|      ,  ,  ,10:59  ,11:04  ,  ,|      ,  ,  ,11:14  ,11:19  ,  ,11:29  ,11:34  ,|      ,11:49  ,  ,  ,|      ,12:04  ,  ,  ,  ,|      ,  ,  ,12:14  ,12:19  ,  ,12:29  ,12:34  ,|      ,12:49  ,  ,  ,|      ,13:04  ,  ,  ,  ,|      ,  ,  ,13:14  ,13:19  ,  ,13:29  ,13:34  ,|      ,13:49  ,  ,  ,|      ,14:04  ,  ,  ,  ,|      ,  ,  ,14:14  ,14:19  ,  ,14:29  ,14:34  ,|      ,14:49  ,  ,  ,|      ,15:04  ,  ,  ,  ,|      ,  ,  ,15:14  ,15:19  ,  ,15:29  ,15:34  ,|      ,15:49  ,  ,  ,|      ,16:04  ,  ,  ,  ,|      ,  ,  ,16:14  ,16:19  ,  ,|      ,  ,  ,16:29  ,16:34  ,  ,|      ,  ,16:44  ,16:49  ,  ,|      ,  ,  ,16:59  ,17:04  ,  ,|      ,  ,  ,17:14  ,17:19  ,  ,|      ,  ,  ,17:29  ,17:34  ,  ,|      ,  ,17:44  ,17:49  ,  ,|      ,  ,  
66,CP Hendy,  ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  
68,LAWRENCE,  ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,  ,6:17  ,|      ,  ,|      ,  ,  ,6:32  ,|      ,  ,|      ,  ,6:47  ,|      ,  ,|      ,  ,  ,7:02  ,|      ,  ,|      ,  ,  ,7:17  ,|      ,  ,|      ,  ,  ,7:32  ,|      ,  ,|      ,  ,7:47  ,|      ,  ,|      ,  ,  ,8:02  ,|      ,  ,|      ,  ,  ,8:17  ,|      ,  ,|      ,  ,  ,8:32  ,|      ,  ,|      ,  ,8:47  ,|      ,  ,|      ,  ,  ,9:02  ,|      ,  ,|      ,  ,  ,9:17  ,|      ,  ,|      ,  ,  ,9:32  ,|      ,  ,|      ,  ,9:47  ,|      ,  ,|      ,  ,  ,10:02  ,|      ,  ,|      ,  ,  ,10:17  ,|      ,  ,|      ,  ,  ,10:32  ,|      ,  ,|      ,  ,10:47  ,|      ,  ,|      ,  ,  ,11:02  ,|      ,  ,|      ,  ,  ,11:17  ,|      ,  ,11:32  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,12:17  ,|      ,  ,12:32  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,13:17  ,|      ,  ,13:32  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,14:17  ,|      ,  ,14:32  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,15:17  ,|      ,  ,15:32  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,16:17  ,|      ,  ,|      ,  ,  ,16:32  ,|      ,  ,|      ,  ,16:47  ,|      ,  ,|      ,  ,  ,17:02  ,|      ,  ,|      ,  ,  ,17:17  ,|      ,  ,|      ,  ,  ,17:32  ,|      ,  ,|      ,  ,17:47  ,|      ,  ,|      ,  ,  
74,SANTA CLARA,  ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,  ,6:22  ,|      ,  ,|      ,  ,  ,6:37  ,|      ,  ,|      ,  ,6:51  ,|      ,  ,|      ,  ,  ,7:07  ,|      ,  ,|      ,  ,  ,7:22  ,|      ,  ,|      ,  ,  ,7:37  ,|      ,  ,|      ,  ,7:51  ,|      ,  ,|      ,  ,  ,8:07  ,|      ,  ,|      ,  ,  ,8:22  ,|      ,  ,|      ,  ,  ,8:37  ,|      ,  ,|      ,  ,8:51  ,|      ,  ,|      ,  ,  ,9:07  ,|      ,  ,|      ,  ,  ,9:22  ,|      ,  ,|      ,  ,  ,9:37  ,|      ,  ,|      ,  ,9:51  ,|      ,  ,|      ,  ,  ,10:07  ,|      ,  ,|      ,  ,  ,10:22  ,|      ,  ,|      ,  ,  ,10:37  ,|      ,  ,|      ,  ,10:51  ,|      ,  ,|      ,  ,  ,11:07  ,|      ,  ,|      ,  ,  ,11:22  ,|      ,  ,11:37  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,12:22  ,|      ,  ,12:37  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,13:22  ,|      ,  ,13:37  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,14:22  ,|      ,  ,14:37  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,15:22  ,|      ,  ,15:37  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,16:22  ,|      ,  ,|      ,  ,  ,16:37  ,|      ,  ,|      ,  ,16:51  ,|      ,  ,|      ,  ,  ,17:07  ,|      ,  ,|      ,  ,  ,17:22  ,|      ,  ,|      ,  ,  ,17:37  ,|      ,  ,|      ,  ,17:51  ,|      ,  ,|      ,  ,  
76,COLLEGE PARK,  ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,  ,↴      ,|      ,|      ,  ,↴      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,  ,↴      ,|      ,|      ,  ,↴      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,  ,↴      ,|      ,|      ,  ,↴      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,  ,↴      ,|      ,|      ,  ,↴      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,  ,↴      ,|      ,|      ,  ,↴      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,  ,|      ,|      ,  ,|      ,↴      ,|      ,|      ,  ,|      ,↴      ,  
78,SAN JOSE,5:13  ,5:28  ,5:43  ,5:48  ,  ,6:03  ,↳     ,  ,6:13  ,6:18  ,6:20  ,6:28  ,6:30  ,↳     ,  ,6:33  ,6:35  ,6:43  ,6:45  ,↳     ,  ,6:48  ,6:50  ,7:00  ,↳     ,  ,7:03  ,7:05  ,7:13  ,7:15  ,↳     ,  ,7:18  ,7:20  ,7:28  ,7:30  ,↳     ,  ,7:33  ,7:35  ,7:43  ,7:45  ,↳     ,  ,7:48  ,7:50  ,8:00  ,↳     ,  ,8:03  ,8:05  ,8:13  ,8:15  ,↳     ,  ,8:18  ,8:20  ,8:28  ,8:30  ,↳     ,  ,8:33  ,8:35  ,8:43  ,8:45  ,↳     ,  ,8:48  ,8:50  ,9:00  ,↳     ,  ,9:03  ,9:05  ,9:13  ,9:15  ,↳     ,  ,9:18  ,9:20  ,9:28  ,9:30  ,↳     ,  ,9:33  ,9:35  ,9:43  ,9:45  ,↳     ,  ,9:48  ,9:50  ,10:00  ,↳     ,  ,10:03  ,10:05  ,10:13  ,10:15  ,↳     ,  ,10:18  ,10:20  ,10:28  ,10:30  ,↳     ,  ,10:33  ,10:35  ,10:43  ,10:45  ,↳     ,  ,10:48  ,10:50  ,11:00  ,↳     ,  ,11:03  ,11:05  ,11:13  ,11:15  ,↳     ,  ,11:18  ,11:20  ,11:28  ,11:30  ,11:35  ,11:43  ,11:45  ,↳     ,11:48  ,↳     ,  ,11:50  ,12:03  ,↳     ,  ,12:05  ,12:13  ,12:18  ,12:20  ,12:28  ,12:30  ,12:35  ,12:43  ,12:45  ,↳     ,12:48  ,↳     ,  ,12:50  ,13:03  ,↳     ,  ,13:05  ,13:13  ,13:18  ,13:20  ,13:28  ,13:30  ,13:35  ,13:43  ,13:45  ,↳     ,13:48  ,↳     ,  ,13:50  ,14:03  ,↳     ,  ,14:05  ,14:13  ,14:18  ,14:20  ,14:28  ,14:30  ,14:35  ,14:43  ,14:45  ,↳     ,14:48  ,↳     ,  ,14:50  ,15:03  ,↳     ,  ,15:05  ,15:13  ,15:18  ,15:20  ,15:28  ,15:30  ,15:35  ,15:43  ,15:45  ,↳     ,15:48  ,↳     ,  ,15:50  ,16:03  ,↳     ,  ,16:05  ,16:13  ,16:18  ,16:20  ,16:28  ,16:30  ,↳     ,  ,16:33  ,16:35  ,16:43  ,16:45  ,↳     ,  ,16:48  ,16:50  ,17:00  ,↳     ,  ,17:03  ,17:05  ,17:13  ,17:15  ,↳     ,  ,17:18  ,17:20  ,17:28  ,17:30  ,↳     ,  ,17:33  ,17:35  ,17:43  ,17:45  ,↳     ,  ,17:48  ,17:50  ,18:00  ,↳     ,  ,18:03  ,18:05  ,18:13  
81,TAMIEN (HSR) $,|      ,|      ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,6:24  ,|      ,o 6:33  ,  ,  ,|      ,6:39  ,|      ,o 6:48  ,  ,  ,|      ,6:54  ,o 7:03  ,  ,  ,|      ,7:09  ,|      ,o 7:18  ,  ,  ,|      ,7:24  ,|      ,o 7:33  ,  ,  ,|      ,7:39  ,|      ,o 7:48  ,  ,  ,|      ,7:54  ,o 8:03  ,  ,  ,|      ,8:09  ,|      ,o 8:18  ,  ,  ,|      ,8:24  ,|      ,o 8:33  ,  ,  ,|      ,8:39  ,|      ,o 8:48  ,  ,  ,|      ,8:54  ,o 9:03  ,  ,  ,|      ,9:09  ,|      ,o 9:18  ,  ,  ,|      ,9:24  ,|      ,o 9:33  ,  ,  ,|      ,9:39  ,|      ,o 9:48  ,  ,  ,|      ,9:54  ,o 10:03  ,  ,  ,|      ,10:09  ,|      ,o 10:18  ,  ,  ,|      ,10:24  ,|      ,o 10:33  ,  ,  ,|      ,10:39  ,|      ,o 10:48  ,  ,  ,|      ,10:54  ,o 11:03  ,  ,  ,|      ,11:09  ,|      ,o 11:18  ,  ,  ,|      ,11:24  ,|      ,o 11:33  ,11:39  ,|      ,o 11:48  ,  ,|      ,  ,  ,11:54  ,|      ,  ,  ,12:09  ,|      ,|      ,12:24  ,|      ,o 12:33  ,12:39  ,|      ,o 12:48  ,  ,|      ,  ,  ,12:54  ,|      ,  ,  ,13:09  ,|      ,|      ,13:24  ,|      ,o 13:33  ,13:39  ,|      ,o 13:48  ,  ,|      ,  ,  ,13:54  ,|      ,  ,  ,14:09  ,|      ,|      ,14:24  ,|      ,o 14:33  ,14:39  ,|      ,o 14:48  ,  ,|      ,  ,  ,14:54  ,|      ,  ,  ,15:09  ,|      ,|      ,15:24  ,|      ,o 15:33  ,15:39  ,|      ,o 15:48  ,  ,|      ,  ,  ,15:54  ,|      ,  ,  ,16:09  ,|      ,|      ,16:24  ,|      ,o 16:33  ,  ,  ,|      ,16:39  ,|      ,o 16:48  ,  ,  ,|      ,16:54  ,o 17:03  ,  ,  ,|      ,17:09  ,|      ,o 17:18  ,  ,  ,|      ,17:24  ,|      ,o 17:33  ,  ,  ,|      ,17:39  ,|      ,o 17:48  ,  ,  ,|      ,17:54  ,o 18:03  ,  ,  ,|      ,18:09  ,|      
86,CAPITOL (HSR) $,|      ,|      ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,6:28  ,|      ,  ,  ,  ,|      ,6:43  ,|      ,  ,  ,  ,|      ,6:58  ,  ,  ,  ,|      ,7:13  ,|      ,  ,  ,  ,|      ,7:28  ,|      ,  ,  ,  ,|      ,7:43  ,|      ,  ,  ,  ,|      ,7:58  ,  ,  ,  ,|      ,8:13  ,|      ,  ,  ,  ,|      ,8:28  ,|      ,  ,  ,  ,|      ,8:43  ,|      ,  ,  ,  ,|      ,8:58  ,  ,  ,  ,|      ,9:13  ,|      ,  ,  ,  ,|      ,9:28  ,|      ,  ,  ,  ,|      ,9:43  ,|      ,  ,  ,  ,|      ,9:58  ,  ,  ,  ,|      ,10:13  ,|      ,  ,  ,  ,|      ,10:28  ,|      ,  ,  ,  ,|      ,10:43  ,|      ,  ,  ,  ,|      ,10:58  ,  ,  ,  ,|      ,11:13  ,|      ,  ,  ,  ,|      ,11:28  ,|      ,  ,11:43  ,|      ,  ,  ,|      ,  ,  ,11:58  ,|      ,  ,  ,12:13  ,|      ,|      ,12:28  ,|      ,  ,12:43  ,|      ,  ,  ,|      ,  ,  ,12:58  ,|      ,  ,  ,13:13  ,|      ,|      ,13:28  ,|      ,  ,13:43  ,|      ,  ,  ,|      ,  ,  ,13:58  ,|      ,  ,  ,14:13  ,|      ,|      ,14:28  ,|      ,  ,14:43  ,|      ,  ,  ,|      ,  ,  ,14:58  ,|      ,  ,  ,15:13  ,|      ,|      ,15:28  ,|      ,  ,15:43  ,|      ,  ,  ,|      ,  ,  ,15:58  ,|      ,  ,  ,16:13  ,|      ,|      ,16:28  ,|      ,  ,  ,  ,|      ,16:43  ,|      ,  ,  ,  ,|      ,16:58  ,  ,  ,  ,|      ,17:13  ,|      ,  ,  ,  ,|      ,17:28  ,|      ,  ,  ,  ,|      ,17:43  ,|      ,  ,  ,  ,|      ,17:58  ,  ,  ,  ,|      ,18:13  ,|      
91,BLOSSOM HILL (HSR) $,|      ,|      ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,6:32  ,|      ,  ,  ,  ,|      ,o 6:46  ,|      ,  ,  ,  ,|      ,7:02  ,  ,  ,  ,|      ,o 7:16  ,|      ,  ,  ,  ,|      ,7:32  ,|      ,  ,  ,  ,|      ,o 7:46  ,|      ,  ,  ,  ,|      ,8:02  ,  ,  ,  ,|      ,o 8:16  ,|      ,  ,  ,  ,|      ,8:32  ,|      ,  ,  ,  ,|      ,o 8:46  ,|      ,  ,  ,  ,|      ,9:02  ,  ,  ,  ,|      ,o 9:16  ,|      ,  ,  ,  ,|      ,9:32  ,|      ,  ,  ,  ,|      ,o 9:46  ,|      ,  ,  ,  ,|      ,10:02  ,  ,  ,  ,|      ,o 10:16  ,|      ,  ,  ,  ,|      ,10:32  ,|      ,  ,  ,  ,|      ,o 10:46  ,|      ,  ,  ,  ,|      ,11:02  ,  ,  ,  ,|      ,o 11:16  ,|      ,  ,  ,  ,|      ,11:32  ,|      ,  ,o 11:46  ,|      ,  ,  ,|      ,  ,  ,12:02  ,|      ,  ,  ,o 12:16  ,|      ,|      ,12:32  ,|      ,  ,o 12:46  ,|      ,  ,  ,|      ,  ,  ,13:02  ,|      ,  ,  ,o 13:16  ,|      ,|      ,13:32  ,|      ,  ,o 13:46  ,|      ,  ,  ,|      ,  ,  ,14:02  ,|      ,  ,  ,o 14:16  ,|      ,|      ,14:32  ,|      ,  ,o 14:46  ,|      ,  ,  ,|      ,  ,  ,15:02  ,|      ,  ,  ,o 15:16  ,|      ,|      ,15:32  ,|      ,  ,o 15:46  ,|      ,  ,  ,|      ,  ,  ,16:02  ,|      ,  ,  ,o 16:16  ,|      ,|      ,16:32  ,|      ,  ,  ,  ,|      ,o 16:46  ,|      ,  ,  ,  ,|      ,17:02  ,  ,  ,  ,|      ,o 17:16  ,|      ,  ,  ,  ,|      ,17:32  ,|      ,  ,  ,  ,|      ,o 17:46  ,|      ,  ,  ,  ,|      ,18:02  ,  ,  ,  ,|      ,o 18:16  ,|      
110,MORGAN HILL (HSR) $,|      ,|      ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,6:41  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,7:11  ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,7:41  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,8:11  ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,8:41  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,9:11  ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,9:41  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,10:11  ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,10:41  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,11:11  ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,11:41  ,|      ,  ,  ,|      ,  ,  ,|      ,  ,  ,12:11  ,|      ,  ,  ,  ,|      ,|      ,12:41  ,|      ,  ,  ,|      ,  ,  ,|      ,  ,  ,13:11  ,|      ,  ,  ,  ,|      ,|      ,13:41  ,|      ,  ,  ,|      ,  ,  ,|      ,  ,  ,14:11  ,|      ,  ,  ,  ,|      ,|      ,14:41  ,|      ,  ,  ,|      ,  ,  ,|      ,  ,  ,15:11  ,|      ,  ,  ,  ,|      ,|      ,15:41  ,|      ,  ,  ,|      ,  ,  ,|      ,  ,  ,16:11  ,|      ,  ,  ,  ,|      ,|      ,16:41  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,17:11  ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,17:41  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,18:11  ,  ,  ,  ,|      ,  ,|      
116,SAN MARTIIN (HSR) $,|      ,|      ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,|      ,  ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,|      
126,GILROY (HSR) $,5:39  ,5:54  ,6:09  ,6:13  ,  ,6:28  ,  ,  ,6:39  ,6:43  ,o 6:50  ,6:54  ,  ,  ,  ,6:58  ,  ,7:09  ,  ,  ,  ,7:13  ,o 7:20  ,  ,  ,  ,7:28  ,  ,7:39  ,  ,  ,  ,7:43  ,o 7:50  ,7:54  ,  ,  ,  ,7:58  ,  ,8:09  ,  ,  ,  ,8:13  ,o 8:20  ,  ,  ,  ,8:28  ,  ,8:39  ,  ,  ,  ,8:43  ,o 8:50  ,8:54  ,  ,  ,  ,8:58  ,  ,9:09  ,  ,  ,  ,9:13  ,o 9:20  ,  ,  ,  ,9:28  ,  ,9:39  ,  ,  ,  ,9:43  ,o 9:50  ,9:54  ,  ,  ,  ,9:58  ,  ,10:09  ,  ,  ,  ,10:13  ,o 10:20  ,  ,  ,  ,10:28  ,  ,10:39  ,  ,  ,  ,10:43  ,o 10:50  ,10:54  ,  ,  ,  ,10:58  ,  ,11:09  ,  ,  ,  ,11:13  ,o 11:20  ,  ,  ,  ,11:28  ,  ,11:39  ,  ,  ,  ,11:43  ,o 11:50  ,11:54  ,  ,  ,12:09  ,  ,  ,12:13  ,  ,  ,o 12:20  ,12:28  ,  ,  ,  ,12:39  ,12:43  ,o 12:50  ,12:54  ,  ,  ,13:09  ,  ,  ,13:13  ,  ,  ,o 13:20  ,13:28  ,  ,  ,  ,13:39  ,13:43  ,o 13:50  ,13:54  ,  ,  ,14:09  ,  ,  ,14:13  ,  ,  ,o 14:20  ,14:28  ,  ,  ,  ,14:39  ,14:43  ,o 14:50  ,14:54  ,  ,  ,15:09  ,  ,  ,15:13  ,  ,  ,o 15:20  ,15:28  ,  ,  ,  ,15:39  ,15:43  ,o 15:50  ,15:54  ,  ,  ,16:09  ,  ,  ,16:13  ,  ,  ,o 16:20  ,16:28  ,  ,  ,  ,16:39  ,16:43  ,o 16:50  ,16:54  ,  ,  ,  ,16:58  ,  ,17:09  ,  ,  ,  ,17:13  ,o 17:20  ,  ,  ,  ,17:28  ,  ,17:39  ,  ,  ,  ,17:43  ,o 17:50  ,17:54  ,  ,  ,  ,17:58  ,  ,18:09  ,  ,  ,  ,18:13  ,o 18:20  ,  ,  ,  ,18:28  ,  ,18:39  